id,created_at,text
1258014367313989600,Wed May 06 12:42:52 +0000 2020,Tune in at 8pm (GMT) on our Facebook as Icelandic @mammutband rocks the livestream - direct from Iceland straight t… https://t.co/5DKJt9kDll
1254756903411949600,Mon Apr 27 12:58:52 +0000 2020,Saddle up for a Q&amp;A about the Icelandic horse! 🐴 Tune in on Facebook today at 7 pm (GMT) to learn about what makes… https://t.co/FKGxU4ylVH
1254714124774379500,Mon Apr 27 10:08:53 +0000 2020,We are proud to partner with @DBSchenker, the world’s leading global logistics provider, to provide cargo flights,… https://t.co/5xBLFIbgCZ
1253664256509325300,Fri Apr 24 12:37:05 +0000 2020,Whale hello there! We invite you to a whale-watching tour that won‘t make you seasick. Join us live on Facebook at… https://t.co/VGKzj1GQx5
1253211804559446000,Thu Apr 23 06:39:12 +0000 2020,Today Icelanders celebrate Sumardagurinn Fyrsti, the 1st day of summer. A little early? It’s from a time when there… https://t.co/yjs4FCUyql
1252317183646056400,Mon Apr 20 19:24:18 +0000 2020,Yesterday, we flew medical supplies from Shanghai to Iceland. Before landing at KEF, our flight path drew a heart o… https://t.co/dYQ4ybYuR9
1250364258342371300,Wed Apr 15 10:04:04 +0000 2020,Today, Vigdís Finnbogadóttir, former president of Iceland, celebrates her 90th birthday. In 1980, she was the first… https://t.co/HtfLLaco5H
1249244685056573400,Sun Apr 12 07:55:17 +0000 2020,Bigger is better! In Iceland, the Easter Bunny is very generous and hands out Easter eggs weighing up to several ki… https://t.co/lrdNaN01pg
1249050544548851700,Sat Apr 11 19:03:50 +0000 2020,Because you can't come to Iceland right now, we will bring Iceland to you. We start today at 8pm (GMT) with a lives… https://t.co/dO8IamB1aX
1247972237468106800,Wed Apr 08 19:39:02 +0000 2020,Most of our fleet stays on the ground, but in past weeks we’ve flown home many passengers, and transported medical… https://t.co/ILofOO0gye
1241402091651899400,Sat Mar 21 16:31:37 +0000 2020,Traveling in these uncertain times calls for extra flexibility. If you still need to get back home or if you are ma… https://t.co/7P533ySPoJ
1240714369987731500,Thu Mar 19 18:58:51 +0000 2020,@chemist999999 @ahitchell @thepointsguy 1203.22
1240251281047986200,Wed Mar 18 12:18:42 +0000 2020,Update 2/2 - Please read our FAQs: https://t.co/eTjecs9WlG - If you still need assistance, fill in this form:… https://t.co/GpbSIGd41b
1240251020703301600,Wed Mar 18 12:17:40 +0000 2020,Update 1/2 We're sorry. The sheer number of messages requires us to refocus in order to reach you all. So, we will… https://t.co/J7imrEW7mb
