id,created_at,text
1254471193010323500,Sun Apr 26 18:03:34 +0000 2020,"The Centrality of Religious Liberty," RealClearPolitics, April 26, 2020 https://t.co/ncD1wS4RQ9
1244258359131414500,Sun Mar 29 13:41:24 +0000 2020,"Liberal Democracy's Advantage in Addressing COVID-19," RealClearPolitics, March 29, 2019 https://t.co/QlZMaL0kli
1239220493611393000,Sun Mar 15 16:02:43 +0000 2020,"Rediscovering Western Civilization," RealClearPolitics, March 15, 2020 https://t.co/6dIbqcZxxe
1233747941623500800,Sat Feb 29 13:36:45 +0000 2020,"Capitalism, Socialism, And Freedom," The Hoover Institution, Feb. 24, 2020 https://t.co/zpI1FPiFcq
1230109352331227100,Wed Feb 19 12:38:18 +0000 2020,FYI: "1619, and Respecting the Facts of America's Founding," RealClearPolitics, Feb. 19 https://t.co/SNBJ6PJNwa
1221422056438452200,Sun Jan 26 13:18:05 +0000 2020,"Remedying Polarization with Constitutionalism," RealClearPolitics, January 26 https://t.co/DRpKToe8nF
1210963131494805500,Sat Dec 28 16:38:03 +0000 2019,"America's Proud Legacy of Liberty," RealClearPolitics, Dec. 28 https://t.co/J2OkMjoaAR
1185550940449001500,Sat Oct 19 13:39:05 +0000 2019,"Unalienable Rights, Reconstruction, and Constitutional Continuity," RealClearPolitics, Oct. 19 https://t.co/YFQyDg5RcE
1173218372852605000,Sun Sep 15 12:53:52 +0000 2019,"Criticisms Illustrate Need for State Dept. Human Rights Panel," RealClearPolitics, Sept. 15, 2019 https://t.co/3rHJC42Tuz
1167791743850426400,Sat Aug 31 13:30:22 +0000 2019,"Isaiah Berlin's Many-Sided Concept of Liberty," RealClearPolitics, August 31 https://t.co/7Fs608zqzk
1158336438490022000,Mon Aug 05 11:18:22 +0000 2019,"Fukuyama’s ‘The End of History?’ -- 30 Years Later," RealClearPolitics, August 4 https://t.co/fEg3hkYPxD
1151817630472384500,Thu Jul 18 11:34:57 +0000 2019,"George Will's Guide to Conserving the Founders' Liberalism," RealClearPolitics, July 18 https://t.co/XnbZmL4uhM
1147138410131443700,Fri Jul 05 13:41:24 +0000 2019,"A Delusive Assurance That All Is Well on Campus," RealClearPolitics, July 5 https://t.co/AkkLjih7HP
1144943274718834700,Sat Jun 29 12:18:43 +0000 2019,"Conservatism and the Repair of the Republic," RealClearPolitics, June 29 https://t.co/bUXLC7gKVo
1142431484437041200,Sat Jun 22 13:57:45 +0000 2019,"A Madisonian Remedy to the Social Media Revolution," RealClearPolitics, June 22 https://t.co/eRwjFRPbvy
1137891369240973300,Mon Jun 10 01:16:58 +0000 2019,"Liberalism in the Progressive--and in the Larger--Sense," RealClearPolitics, June 8 https://t.co/OMdyN0Y5P8
1132299520195190800,Sat May 25 14:56:57 +0000 2019,"Harvard's Latest Enfeeblement of Liberal Education," RealClearPolitics, May 25, 2019 https://t.co/BHo2vCdA17
