id,created_at,text
1261006274520440800,Thu May 14 18:51:38 +0000 2020,This is so so heartbreaking!! Have no words. #LockdownWoes https://t.co/qUNn6q2smZ
1259898780201054200,Mon May 11 17:30:51 +0000 2020,A really heartwarming, much-needed step!! Fantastic @SonuSood 👏👏👍😇 https://t.co/0kOC2cc0w6
1258740223325937700,Fri May 08 12:47:10 +0000 2020,RT @cricbuzz: THE FIRST EVER FINISHER  Before Dhoni and Hussey, there was Michael Bevan. Happy 50th birthday to one of the greatest ODI pla…
1257660904390492200,Tue May 05 13:18:20 +0000 2020,@medhashri @officialparleg Blissful!! 👌😊
1256160799287963600,Fri May 01 09:57:27 +0000 2020,I'm sure many would agree with Kriti that 2020 will end up being a blur for a lot of us, and we've all the reasons… https://t.co/0kte1Wg2JF
1255922700461039600,Thu Apr 30 18:11:20 +0000 2020,Wasim Akram Glenn McGrath Dale Steyn Shane Warne #DreamTeam (But there should have been another spinner, an off spi… https://t.co/FbS3HnHiLR
1255395858025193500,Wed Apr 29 07:17:51 +0000 2020,Heartbreaking. #IrrfanKhan #RestInPeace 🙏🙏 https://t.co/c3CuPu68kQ
1255168425191563300,Tue Apr 28 16:14:07 +0000 2020,My pain doesn't trouble me. My wounds don't hurt me... my ends don't scare me. They look like an opportunity, a new… https://t.co/9UEAqK2Cxg
1254363026070753300,Sun Apr 26 10:53:45 +0000 2020,@CastingChhabra @mehtahansal @RajkummarRao Yes, aur wahaan ki maggi aur chai bhi yaad hai. 👌😀 @CastingChhabra
1253234998246690800,Thu Apr 23 08:11:22 +0000 2020,Old film music, old movies, old TV shows, old cricket matches, old WWE fights -- clearly, it's nostalgia that is pu… https://t.co/LpR3vomWrG
1252998886039228400,Wed Apr 22 16:33:08 +0000 2020,I hope &amp; pray that everyone is 'coping well' with the Covid-19 lockdown period!! Remember, like everything else, th… https://t.co/mSTDjbigBJ
1252522077292163000,Tue Apr 21 08:58:28 +0000 2020,My top six: Hayden, Kirsten, Dravid, Tendulkar, DeVilliers and Waugh. #DreamTeam @ESPNcricinfo @HaydosTweets… https://t.co/nY4eIvHH7I
1252276862090264600,Mon Apr 20 16:44:04 +0000 2020,@ronnielahiri @ayushmannk @yamigautam @ShoojitSircar @TheJohnAbraham @cjuhi By God's grace, all is fine, Ronnie. Th… https://t.co/mb85hFfjVc
1252271686004560000,Mon Apr 20 16:23:30 +0000 2020,It'll always be one of my all-time favourites !! Pathbreaking topic, fantastic actors-makers-writer at helm and, of… https://t.co/Dus0FTgpTI
1251901370757570600,Sun Apr 19 15:52:00 +0000 2020,वो शख्स जो कहता था तू न मिला  तो मर जाऊंगा 'फ़राज़', वो आज भी जिंदा है यही बात  किसी और से कहने के लिए I  -अहमद फ़राज़ @Rekhta
1251191460206047200,Fri Apr 17 16:51:04 +0000 2020,@_SanjayGupta Pani-puri at Gangour, Juhu. 😋
1251185283082535000,Fri Apr 17 16:26:32 +0000 2020,Yami Gautam's reaction on finding her husband being bald, in Bala, is pure gold !! Has to be one of the best ones I… https://t.co/SRJqwEc43u
1250429481967210500,Wed Apr 15 14:23:15 +0000 2020,@NushratBharucha @BTL_Balaji @StarPlus Looks great fun. And seeing this, I'm sure, nobody can now say that film sta… https://t.co/yfns0YFNX2
1249969780716482600,Tue Apr 14 07:56:33 +0000 2020,Happy happy birthday bro!! For now, have a blast in isolation but a party is due. 😀🎂✨ @_SanjayGupta
1249968256154095600,Tue Apr 14 07:50:30 +0000 2020,@ladasingh Lovely!! Stay strong, gym waale ladke. We all are in it together. 😀💪
1249400086980751400,Sun Apr 12 18:12:48 +0000 2020,RT @Fact: You can't blame gravity for falling in love - Albert Einstein
1249372871656222700,Sun Apr 12 16:24:39 +0000 2020,उठकर तो आ गये हैं  तेरी बज्म से मगर, कुछ दिल ही जानता है  कि किस दिल से आये हैं  - फैज़ अहमद फैज़ @Rekhta
1248911989969019000,Sat Apr 11 09:53:16 +0000 2020,Khurrana saab, it's so heartfelt, thoughtful and incisive!! 👏👌🙏 @ayushmannk https://t.co/jRwV94WWYM
1248514079406166000,Fri Apr 10 07:32:07 +0000 2020,RT @juniorwaugh349: Cleaning the garage out today and came across my arsenal of weapons over the years. My favourite was 2nd from the end o…
