id,created_at,text
1259460680597430300,Sun May 10 12:30:00 +0000 2020,Heute wird in vielen Ländern #Muttertag gefeiert. In liebevoller Dankbarkeit denke ich an alle Mütter und vertraue… https://t.co/sfQtIEiinm
1259430480514027500,Sun May 10 10:30:00 +0000 2020,Im #Tagesevangelium (Joh 14,1-12) zeigt uns Jesus zwei Mittel gegen die Verwirrung des Herzens: sich nicht auf sich… https://t.co/P7Dt2nBsfV
1259404360230023200,Sun May 10 08:46:12 +0000 2020,Beten erfordert Mut. Beten bedeutet, mit Jesus zum Vater zu gehen, der uns alles geben wird. Die Kirche geht mit di… https://t.co/PqrNuxGUxV
1259083191996108800,Sat May 09 11:30:00 +0000 2020,Zum 70. Jahrestag der Schuman-Erklärung hoffe ich, dass sie weiterhin die Verantwortlichen in der Europäischen Unio… https://t.co/qnCkppwDsB
1259052753143369700,Sat May 09 09:29:03 +0000 2020,Die Kirche geht ihren Weg zwischen den Tröstungen Gottes und den Verfolgungen der Welt. Der Hl. Geist schafft Harmo… https://t.co/4b0szmRJ1g
1259042017335750700,Sat May 09 08:46:23 +0000 2020,Am Gedenktag der heiligen Louise de Marillac #betenwirgemeinsam für die Vinzentinerinnen, die seit fast 100 Jahren… https://t.co/ZpfEMCK7ZP
1258720805262893000,Fri May 08 11:30:00 +0000 2020,Im Heiligtum von Pompeji findet heute das besondere Bittgebet zur #Rosenkranzkönigin statt. #Betenwirgemeinsam dass… https://t.co/m5XoZTddKb
1258688739292913700,Fri May 08 09:22:35 +0000 2020,Wie tröstet der Herr? Mit Nähe: Er spricht wenig, ist aber nahe. Mit der Wahrheit: Es sagt keine Floskeln, er täusc… https://t.co/SX4pdgDapk
1258674217719128000,Fri May 08 08:24:53 +0000 2020,Heute wird der Weltrotkreuz- und Rothalbmondtag begangen. #Betenwirgemeinsam für die Menschen, die in diesen verdie… https://t.co/LQSI0xNeLP
1258358416763834400,Thu May 07 11:30:00 +0000 2020,Inmitten der Isolation, in der wir unter einem Mangel an Zuneigung und Begegnungen leiden und den Mangel an vielen… https://t.co/wbNcHs1tnj
1258328217250943000,Thu May 07 09:30:00 +0000 2020,Christsein bedeutet zu dem von Gott erwählten Volk zu gehören und sich derer zu erinnern, die uns auf dem Weg des H… https://t.co/bt4ku3WOd3
1258307685063233500,Thu May 07 08:08:25 +0000 2020,Ich möchte den Herrn um seinen Segen für die Künstler bitten. Sie lassen uns erfahren, was Schönheit ist, und das i… https://t.co/TQBskZNRc1
1257996028931793000,Wed May 06 11:30:00 +0000 2020,Das #Gebet ist der Atem des Glaubens, es ist wie ein lautes Rufen, das aus dem Herzen derer kommt, die glauben und… https://t.co/RQSbi8U1lL
1257965829217349600,Wed May 06 09:30:00 +0000 2020,Es ist nicht leicht in dem Licht zu leben, das uns so viele unschöne Dinge in unserem Inneren offenbart: Laster, Ho… https://t.co/nzuhBU6bw7
1257948077878624300,Wed May 06 08:19:27 +0000 2020,#Betenwirgemeinsam für die Männer und Frauen, die im Bereich der Medien arbeiten. Sie nehmen in dieser Zeit der Pan… https://t.co/JBCEbJz2uh
1257682714301329400,Tue May 05 14:45:00 +0000 2020,https://t.co/GTxCtuWvNZ
1257617965509460000,Tue May 05 10:27:43 +0000 2020,Es gibt innere Haltungen, die uns in der Erkenntnis des Herrn nicht weiterbringen: Reichtum, Trägheit, Starrheit, K… https://t.co/cpnj8bc72b
1257579420812009500,Tue May 05 07:54:33 +0000 2020,Beten wir heute für all jene, die aufgrund der Pandemie verstorben sind. Viele starben allein, ohne die zärtliche N… https://t.co/tKJqtQv50N
1257271252470788000,Mon May 04 11:30:00 +0000 2020,Auf Vorschlag des Hohen Komitees für die #BrüderlichkeitallerMenschen lade ich dazu ein, dass sich die Gläubigen al… https://t.co/AS0r7Ev3vx
1257259927825002500,Mon May 04 10:45:00 +0000 2020,Es gibt Ideen, die zu Spaltungen führen. Umso wichtiger ist da die Führung des Heiligen Geistes. Der Herr befreie u… https://t.co/d4zxlsLgxl
1257251828976308200,Mon May 04 10:12:49 +0000 2020,In dieser Zeit der Ausgangsbeschränkungen lässt man sich in den Familien viel Neues einfallen, um voranzukommen. Ma… https://t.co/4UTTMM9Zt2
1256946616067473400,Sun May 03 14:00:00 +0000 2020,In der gegenwärtigen Krise brauchen wir einen freien Journalismus im Dienste aller Menschen, vor allem jener, die k… https://t.co/x3zZ5ysh8o
1256908865301409800,Sun May 03 11:30:00 +0000 2020,#Betenwirgemeinsam um #Berufungen und erbitten wir vom Herrn gute Arbeiter für sein Reich – mit Herzen und Händen,… https://t.co/tpYTT0tiHD
1256885460409835500,Sun May 03 09:57:00 +0000 2020,#Betenwirgemeinsam um viele gute Hirten, die ihr Leben für die Gläubigen geben. Ich denke dabei an die Priester und… https://t.co/yozh7wdYOj
1256884400521969700,Sun May 03 09:52:47 +0000 2020,Der Sonntag des Guten Hirten ist ein schöner Sonntag, ein Sonntag des Friedens, der Sanftmut und der Zärtlichkeit,… https://t.co/fBdzqTThgi
1256546476672647200,Sat May 02 11:30:00 +0000 2020,Nehmen wir diese Zeit der Prüfung durch die #Pandemie zum Anlass, eine Zukunft für alle vorzubereiten. Denn wenn wi… https://t.co/yWRsr4HaO7
1256515725080047600,Sat May 02 09:27:48 +0000 2020,Die Krise ist eine Zeit der Entscheidung. Diese Pandemie ist eine Zeit der sozialen Krise. Wie sollen wir dagegenha… https://t.co/yFq2yxhgk6
1256504677748924400,Sat May 02 08:43:54 +0000 2020,#Betenwirgemeinsam für die Regierenden, die in der Verantwortung stehen, für ihre Völker Sorge zu tragen. Der Herr… https://t.co/36RYqpLAOE
1256184090677571600,Fri May 01 11:30:00 +0000 2020,Entdecken wir wieder neu, wie schön es ist, im Mai zu Hause den #Rosenkranz zu beten! Am Schluss vertrauen wir der… https://t.co/m5bcJHklLs
1256155100642508800,Fri May 01 09:34:48 +0000 2020,"Arbeit" bezeichnet in der Bibel zunächst die Tätigkeit, mit der Gott sein Werk macht: "Gott vollendete das Werk, d… https://t.co/I8CTkRYfVQ
1256149329460572200,Fri May 01 09:11:52 +0000 2020,Heute feiern wir den heiligen Josef, den Arbeiter, wie auch den Tag der Arbeit. #Betenwirgemeinsam für alle Arbeite… https://t.co/rwLgi4HEAN
1255821700924506000,Thu Apr 30 11:30:00 +0000 2020,Das Christentum ist nicht nur eine Lehre, eine Verhaltensweise, eine Kultur. Es ist auch das alles, aber der Kern d… https://t.co/SMLu7JDJ8N
1255791429995180000,Thu Apr 30 09:29:43 +0000 2020,Unser Zeugnis öffnet die Türen zu den Menschen. Unser Gebet öffnet die Türen zum Herzen des Vaters. Bitten wir den… https://t.co/Xll7QKIDqK
1255785574318956500,Thu Apr 30 09:06:26 +0000 2020,Heute #Betenwirgemeinsam für die Verstorbenen, die an der Pandemie gestorben sind, besonders für die Toten, deren Namen wir nicht kennen.
1255459313897877500,Wed Apr 29 11:30:00 +0000 2020,Armut vor Gott, Trauer, Sanftmut, Durst nach Heiligkeit, Barmherzigkeit, Reinheit des Herzens und Werke des Frieden… https://t.co/RUzPp2kadV
1255437395673088000,Wed Apr 29 10:02:54 +0000 2020,Bei der Beichte unserer Sünden sollen wir nicht abstrakt sein, sondern einfach und konkret wie die Kinder: „Ich hab… https://t.co/DmoqK8Q8UY
1255428719684063200,Wed Apr 29 09:28:26 +0000 2020,Am Festtag der heiligen Katharina von Siena, Kirchenlehrerin und Patronin Europas, #Betenwirgemeinsam für die Einhe… https://t.co/GSSHAlRgBh
1255096925608534000,Tue Apr 28 11:30:00 +0000 2020,Ostern bringt uns diese Botschaft: die Botschaft, von oben geboren zu werden. Wir können mit derselben Kraft von ob… https://t.co/9LMNKxdR5r
1255068957326954500,Tue Apr 28 09:38:52 +0000 2020,Oft bilden unsere Kommentare den Anfang eines täglichen kleinen Rufmords. Der Herr helfe uns, in unseren Urteilen g… https://t.co/bxtzrriUtj
1255050706530250800,Tue Apr 28 08:26:20 +0000 2020,In diesen Tagen ist man dabei, Regeln für eine Aufhebung der Quarantäne festzulegen. Bitten wir den Herrn, uns alle… https://t.co/CRg42Kngl1
1254734538418401300,Mon Apr 27 11:30:00 +0000 2020,Im Leben kommt es vor, dass wir uns vom Herrn entfernen und die Frische des ersten Rufes verlieren. Bitten wir um d… https://t.co/C63wDNCAP4
1254732611773227000,Mon Apr 27 11:22:21 +0000 2020,#Betenwirgemeinsam für die Künstler, die sich durch ihre große Kreativität auszeichnen und uns durch die Schönheit… https://t.co/K0zPaCi5Kc
1253990887585050600,Sat Apr 25 10:15:00 +0000 2020,Wenn wir gemeinsam mit Maria beim #Rosenkranz das Antlitz Christi betrachten, wird uns dies tiefer als geistliche F… https://t.co/EnCcYPwPg7
1253989628929065000,Sat Apr 25 10:10:00 +0000 2020,Liebe Brüder und Schwestern, ich biete euch die Texte zweier Gebete zur Gottesmutter an, die ihr am Ende des… https://t.co/OrOB8o8eNk
1253979562855280600,Sat Apr 25 09:30:00 +0000 2020,Im #Tagesevangelium sagt der Herr: „Geht hinaus in die ganze Welt und verkündet das Evangelium“ (Mk 16,15). Der Gla… https://t.co/HEv9lRiMXw
1253972014697611300,Sat Apr 25 09:00:00 +0000 2020,Heute feiert die Kirche den heiligen Markus, einen der vier Evangelisten. Als Erster hat er das Evangelium in ganz… https://t.co/nhpLKaSZCm
1253970458447396900,Sat Apr 25 08:53:49 +0000 2020,#Betenwirgemeinsam für die im Bestattungswesen tätigen Menschen. Sie spüren das Leid dieser Pandemie ganz nah und e… https://t.co/Haeyt77OH2
1253647374624477200,Fri Apr 24 11:30:00 +0000 2020,Jetzt, wo wir an eine langsame und mühsame Erholung von der Pandemie denken, besteht die Gefahr, dass uns ein noch… https://t.co/fljtzxsxdv
