id,created_at,text
1259649496159527000,Mon May 11 01:00:17 +0000 2020,Let’s go. #TheLastDance https://t.co/CH8ziDkMgM
1259609902047203300,Sun May 10 22:22:57 +0000 2020,RT @GeoffRBennett: NEWS: A senior admin official tells @KellyO that @Mike_Pence “continues to test negative” and there is “no restriction”…
1259606674274431000,Sun May 10 22:10:08 +0000 2020,A special #MothersDay Edition of Facebook Live Story Time with @ChristinaGeist starts shortly (6:30 p.m. ET) on her… https://t.co/WNY4gzZSSI
1259584148601258000,Sun May 10 20:40:37 +0000 2020,Big thanks to Don Anthony for doing the gig. He’s great if you’re in the market! https://t.co/8KYwJIctRu
1259581663010529300,Sun May 10 20:30:45 +0000 2020,We had a combo holiday today with Mother’s Day and my dad’s 75th birthday. Naturally, we brought in the #1 Elvis im… https://t.co/XqJQouGQCQ
1259580096916131800,Sun May 10 20:24:31 +0000 2020,@4TheCrazies Thank you for this. Please say hello and Happy Mother’s Day to your mom!
1259567576260186000,Sun May 10 19:34:46 +0000 2020,RT @TWJworks: Happy Mother’s Day! I’m thankful for my mother who loves me unconditionally and marched with Dr. King in Selma to give black…
1259561728431526000,Sun May 10 19:11:32 +0000 2020,RT @andrewrsorkin: This morning, I talked about the economy, unemployment and reopening with my pal @WillieGeist on @TODAYshow. Watch it he…
1259495026985484300,Sun May 10 14:46:29 +0000 2020,@ChrisGBrown Wow. It does exist, but only in rare antique shops. True collector's items. And thanks for remembering #WTE!
1259492593974628400,Sun May 10 14:36:49 +0000 2020,@karlravechespn @espn Thanks, Karl! You guys are doing a great job. Thanks for giving us something to watch. And, I… https://t.co/iUEFLXn3A3
1259492208685846500,Sun May 10 14:35:17 +0000 2020,@jmpernesky Nice mug, Julie! Thank you for watching... and drinking. #SundayTODAY
1259492060974940200,Sun May 10 14:34:42 +0000 2020,Happy Mother's Day, Billie! 🌺 https://t.co/u3eKMDiGfF
1259491946122313700,Sun May 10 14:34:14 +0000 2020,@GavinGreene1 @inagarten Here it is: https://t.co/D1K9zDV576.  The full length interview is on the Sunday Sitdown p… https://t.co/677dVG26fx
1259491659794002000,Sun May 10 14:33:06 +0000 2020,@salesrocks Thank you for watching, Kevin. Really appreciate it.
1259491567884210200,Sun May 10 14:32:44 +0000 2020,@blooquasar @inagarten @nbc @billgeistone Thank you, Carol! Will do.
1259491523848286200,Sun May 10 14:32:34 +0000 2020,@LoganBrummitt @BrookeBrummitt Absolutely was directed right at @BrookeBrummitt, and only @BrookeBrummitt. Happy Mother's Day! 🌺
1259491322953715700,Sun May 10 14:31:46 +0000 2020,@rson Thanks for sharing, Matt. I hope she's feeling better in time for Mother's Day!
1259491210688938000,Sun May 10 14:31:19 +0000 2020,@KSCartist Will do, Tim. Thank you.
1259491128732201000,Sun May 10 14:30:59 +0000 2020,Happy Mother's Day, Kristin! 🌺 https://t.co/zS85wRoFKN
1259490940147978200,Sun May 10 14:30:14 +0000 2020,ICYMI on #SundayTODAY: The legacy of the late Little Richard, one of the most influential artists in the history of… https://t.co/1FJABS6o3Q
1259489064501358600,Sun May 10 14:22:47 +0000 2020,ICYMI on #SundayTODAY: A favorite "Sunday Sitdown", at home with the Barefoot Contessa herself, @InaGarten. ☀️ https://t.co/D1K9zDV576
1259488620093886500,Sun May 10 14:21:01 +0000 2020,Happy Mother's Day! 🌺 We love our moms. https://t.co/qZlheNyoPE
1259488241159483400,Sun May 10 14:19:31 +0000 2020,ICYMI on #SundayTODAY: @MorganRadford on the national movement by professional photographers to capture this stay-a… https://t.co/sHYopiaQmn
1259487888628166700,Sun May 10 14:18:07 +0000 2020,ICYMI on #SundayTODAY: Our tribute to the late Sgt. Major Bennie Adkins, a recipient of the Medal of Honor. 🙏https://t.co/dQxFV2CIWG
1259487559572471800,Sun May 10 14:16:49 +0000 2020,ICYMI on #SundayTODAY: Our Highs of the Week, including a reunion between a healthy mother and her children, after… https://t.co/ADCBABbbsa
1259487058801852400,Sun May 10 14:14:49 +0000 2020,ICYMI on #SundayTODAY: @StephGosk on medical school students putting their residencies on hold, as they ship straig… https://t.co/ecWVNFRYNy
1259472619251826700,Sun May 10 13:17:26 +0000 2020,RT @ScottGottliebMD: Nationally, hospitalizations and deaths continue to rise once New York region is excluded from totals. New cases acros…
1259460095798325200,Sun May 10 12:27:41 +0000 2020,.@InaGarten is next on #SundayTODAY, @NBC! 🌸 ☀️ https://t.co/4UJnYVR1u1
1259452913069494300,Sun May 10 11:59:08 +0000 2020,Good morning ☀️ and Happy Mother’s Day 🌸! #SundayTODAY starts now on @NBC. https://t.co/Q5Sw4BjUCN
1259295548223434800,Sun May 10 01:33:49 +0000 2020,@CillizzaCNN Beautifully done, Chris. I’m so sorry about your dad. 🙏
1259238102348042200,Sat May 09 21:45:33 +0000 2020,@LindsayWFMJ @TODAYshow @wfmjtoday I love it, Lindsay! Thanks for what you guys do in Youngstown. See you tomorrow morning. ☀️
1259212551633633300,Sat May 09 20:04:02 +0000 2020,RT @RollingStone: Andre Harrell, the founder of Uptown Records, has died at 59 https://t.co/Fix2j7XfmK
1259153195730862000,Sat May 09 16:08:10 +0000 2020,Tomorrow morning on #SundayTODAY, a break from our coronavirus coverage for a favorite, denim-drenched “Sunday Sitd… https://t.co/dXJjRdJpRq
1259130115298152400,Sat May 09 14:36:27 +0000 2020,RT @BeschlossDC: Little Richard (1932-2020) consenting to pose with obscure opening act in Hamburg, 1962: https://t.co/HRFyE3knJE
1259128783644303400,Sat May 09 14:31:10 +0000 2020,His impact on music is immeasurable. McCartney talks about singing “Tutti Frutti” on top of his school desk. Mick J… https://t.co/gB4N3ZPtQE
1259124163912097800,Sat May 09 14:12:48 +0000 2020,RT @JamesHasson20: Imagine loudly complaining that you “still don’t have a toaster,” when twenty million people now don’t have jobs and 70,…
1259097826887446500,Sat May 09 12:28:09 +0000 2020,RT @StormTeam4NY: The last time it was THIS cold in May in New York City? 1891 #NYC #NBC4NY https://t.co/EgEeTARItf
1259096068379345000,Sat May 09 12:21:10 +0000 2020,RT @Raphael4NY: This is only the 2nd time we have EVER recorded snow in Central Park in May (it's gone now)
1259094526381166600,Sat May 09 12:15:02 +0000 2020,RT @alleniverson: We talkin about practicing social distancing!!! #StayHome #StaySafe https://t.co/wJZjQU5I7V
1259075171622826000,Sat May 09 10:58:08 +0000 2020,RT @davidchang: I’m gonna put donkey sauce on so many menus ❤️   🙏 @GuyFieri for being a great example and leading the charge
