id,created_at,text
1255820184515944400,Thu Apr 30 11:23:58 +0000 2020,RT @TheDaVinciVirus: Chapter 72  Celeste drew back the tapestry to reveal an old man at the controls of a huge machine. Suddenly the Pope v…
1255113572373454800,Tue Apr 28 12:36:09 +0000 2020,RT @EmmaDixon_EU: Oh, I only just discovered this and there are 65 glorious chapters...
1255113556758069200,Tue Apr 28 12:36:05 +0000 2020,RT @KSAbby: This needs to be read by more people.. This is super 😂😂... And yes don't forget to vote to take the story to its next destinati…
1254866133242523600,Mon Apr 27 20:12:55 +0000 2020,RT @TheDaVinciVirus: Chapter 60  “The Loch Ness Monster!” cried Celeste as a giant creature emerged from the gloom. Suddenly a circular doo…
1254866122941304800,Mon Apr 27 20:12:52 +0000 2020,RT @TheDaVinciVirus: Chapter 59  The submarine sank slowly to the bottom of Loch Ness like a sack of squirrels. “Professor, look!” said Cel…
1251662200609144800,Sun Apr 19 00:01:38 +0000 2020,RT @LockdownTales: Harry Potter and the Global Pandemic  “Expellivirus!”  “Coronabegonimus!”  “Covidnineteenextinguishus!”  “Oh give it up,…
1251662187611017200,Sun Apr 19 00:01:34 +0000 2020,RT @LockdownTales: Winnie the Pooh  “Oh Piglet!” said Pooh, “I may only be a bear of very little brain but one thing I know for certain is…
1251662173190881300,Sun Apr 19 00:01:31 +0000 2020,RT @LockdownTales: The Very Hungry Caterpillar  Once upon a time there was a very hungry caterpillar. He was very hungry because Sainsbury’…
1250884032566616000,Thu Apr 16 20:29:28 +0000 2020,RT @TheDaVinciVirus: Chapter 29  “What do you want from me?” cried Langdon, 41. “I want you to find out who created this virus!” said the P…
1250869592781701000,Thu Apr 16 19:32:05 +0000 2020,RT @TheDaVinciVirus: Chapter 28  “Professor Langdon, I’ve been expecting you” said the Pope, 83. “But how did you know I was coming?”said L…
1250157011758710800,Tue Apr 14 20:20:33 +0000 2020,RT @Tertonmike: Possibly the greatest single work of literature EVER.
1250157002715811800,Tue Apr 14 20:20:30 +0000 2020,RT @TheaLanden: If you're not reading/following this yet, DO IT. DO IT NOW. I have literally laughed out loud several times, which happens…
1250064171942776800,Tue Apr 14 14:11:38 +0000 2020,RT @Nandams093: This is so stupidly good and sarcastic, I LOVE IT
1250064148920184800,Tue Apr 14 14:11:32 +0000 2020,RT @gileshardie: If you’ve ever read any of the novels or seen any of the films then here is the reward for your efforts. Enjoy this. It’s…
1249709996553777200,Mon Apr 13 14:44:16 +0000 2020,RT @TheDaVinciVirus: Chapter 16  “How long have you been a member of The Conspiritari?”  Celeste gasped with her mouth. “But how did you kn…
1248252284405940200,Thu Apr 09 14:11:50 +0000 2020,RT @MrsSatantweets: In Hell, every pub is a Wetherspoons.
1248250511775551500,Thu Apr 09 14:04:48 +0000 2020,I knew I shouldn’t have let my husband go on that round the world trip without a handkerchief!
1170086467059761200,Fri Sep 06 21:28:47 +0000 2019,@waynetuckwell @SoBadGreta But good to know you’re a family man!
1170086200784371700,Fri Sep 06 21:27:44 +0000 2019,@waynetuckwell @SoBadGreta I think you may have missed the point of that tweet, dear. (And it’s pigswill by the way… https://t.co/oQZj7Q0Noi
1167563952311742500,Fri Aug 30 22:25:13 +0000 2019,@RoppParren @50NerdsofGrey No dear, but I do a mean Devil’s Food Cake x
1167534719942234000,Fri Aug 30 20:29:03 +0000 2019,People often ask if there’s a cat heaven. The answer is yes - it’s called Hell. Where else would cats go?
1166102205302300700,Mon Aug 26 21:36:45 +0000 2019,Anyone who says the Devil’s in the detail has clearly never seen him try to put an IKEA bedside cabinet together.
1166075414697205800,Mon Aug 26 19:50:18 +0000 2019,I warned them not to let my husband direct the new Star Wars film! https://t.co/Elltk8gRFj
1166073711633543200,Mon Aug 26 19:43:32 +0000 2019,Had a lovely weekend sunbathing on a tropical beach. Between the Devil and the deep blue sea.
1166072178967818200,Mon Aug 26 19:37:26 +0000 2019,Oh go on, dear - what’s the worst that could happen? https://t.co/twhoJ2oqvE
1165426816573681700,Sun Aug 25 00:53:00 +0000 2019,@njptower @50NerdsofGrey Then you’re a very lucky man, dear!
1165426580983820300,Sun Aug 25 00:52:04 +0000 2019,My husband employed a lawyer to defend himself but I think he was just playing Devil’s advocate.
1165422175064604700,Sun Aug 25 00:34:33 +0000 2019,You know that sudden, juddering chill you experience when you’re lying awake in the middle of the night, alone in t… https://t.co/937EFCiwpM
1165417570104742000,Sun Aug 25 00:16:15 +0000 2019,@TubunMuzuru @MrsStephenFry He never tells me anything, dear! He’s a bit of devil!
1165369984144543700,Sat Aug 24 21:07:10 +0000 2019,Have you ever danced with the Devil in the pale moonlight? I wouldn’t recommend it. I still can’t feel my toes.
1165262606166298600,Sat Aug 24 14:00:29 +0000 2019,@LostRambler007 @TheTweetOfGod @s8n We’re having a barbecue tomorrow, dear. Just hope Mr G doesn’t bring his homema… https://t.co/wJskP4mHja
1164915436812738600,Fri Aug 23 15:00:57 +0000 2019,@s8n I think you know the answer to that, dear!
1163567686917513200,Mon Aug 19 21:45:29 +0000 2019,@MrFingerbobs Not sure, dear - we’re currently working on a horror film called Through The Round Window and a docum… https://t.co/UtubXllQMh
1163544178149810200,Mon Aug 19 20:12:04 +0000 2019,I’ve only ever smeared sandwich spread on my husband. Well, you know what they say - butter the Devil you know.
1163524393722622000,Mon Aug 19 18:53:27 +0000 2019,It’s disgraceful that so many people blamed my husband when he was clearly fired from his last position because of… https://t.co/ixjfJkWzWU
1163523278025179100,Mon Aug 19 18:49:01 +0000 2019,@ChkyMnkyPicture @50NerdsofGrey Thank you, dear! You too!
1163519277086978000,Mon Aug 19 18:33:07 +0000 2019,@ChkyMnkyPicture @50NerdsofGrey It’s wonderful that you believe that, dear! We look forward to seeing you soon x
1163518681965617200,Mon Aug 19 18:30:45 +0000 2019,@ChkyMnkyPicture @50NerdsofGrey Lovely, dear! Keep them coming
1163518429367808000,Mon Aug 19 18:29:45 +0000 2019,My husband’s set up a multimedia production company - it’s called Development Hell.
1163517822527578000,Mon Aug 19 18:27:20 +0000 2019,@ChkyMnkyPicture @50NerdsofGrey Only noisy vegans, dear!
1163443902873034800,Mon Aug 19 13:33:36 +0000 2019,My husband’s writing 7 New Deadly Sins for the modern world. So far he’s got . . .  Humblebragging Tagging people o… https://t.co/mVz6YXRyuF
