id,created_at,text
1260529108120932400,Wed May 13 11:15:33 +0000 2020,Say hello to #DailyDeli, our latest range of freshly baked artisanal breads, natural preserves, and delicious dips… https://t.co/8iqbkvtp21
1255847808151761000,Thu Apr 30 13:13:44 +0000 2020,Our amazing kitchen staff is hard at work to deliver your favourite deli-deliciousness in the safest way possible.… https://t.co/s5ZBBn0zrr
1247851988584407000,Wed Apr 08 11:41:12 +0000 2020,DALGONA DOPED by @RoastedToday is our take on the internet trend that goes way off the beaten path with an Indian t… https://t.co/vA7ZA9ihP4
1247445346755596300,Tue Apr 07 08:45:21 +0000 2020,Craving a delightfully juicy burger? Get your favourite indulgence deli-vered! Order now on @ZomatoIN  or… https://t.co/5lab9m1QsZ
1246353611191287800,Sat Apr 04 08:27:11 +0000 2020,If you’ve visited any of our revamped outposts, you might have noticed the whimsical world that lives in the form o… https://t.co/vC3fAkX9kn
1244640361852440600,Mon Mar 30 14:59:21 +0000 2020,Productivity is misconstrued as the number of items you cross off on your checklist everyday, but during isolation,… https://t.co/TW1WW9MKn5
1243900015996620800,Sat Mar 28 13:57:29 +0000 2020,Love in the time of Corona is basically boosting your immunity with a glass of good greens - add some kale and avoc… https://t.co/Ai66RpX3jT
1242791531196477400,Wed Mar 25 12:32:45 +0000 2020,Self love is an isolation essential, and wine is a self love staple. So here are a few recipes that pair perfectly… https://t.co/QN2IevPCOo
1242419151487946800,Tue Mar 24 11:53:03 +0000 2020,RT @kapoorvidur: #QuaratineLife with Dope coffee ❤️🤟 @FleaBazaarCafe @SmokeHouseDeli   @riz1amlani https://t.co/jNjpTdbzOR
1241581197500678100,Sun Mar 22 04:23:19 +0000 2020,While washing your hands thoroughly will help prevent the transmission of #Coronavirus, be mindful of not wasting t… https://t.co/Ov8OuzfbpW
1240672208952778800,Thu Mar 19 16:11:19 +0000 2020,Feeling cooped up after sitting at home all day long? Order in our fresh, wholesome sandwiches or salad bowls to re… https://t.co/XXBjn3GY3n
1240565776114790400,Thu Mar 19 09:08:24 +0000 2020,Want to know how a Keto diet tastes like? Dig into the goodness of our Keto Power Breakfast. Made from fresh Coorgi… https://t.co/4zouk2K0Ya
1239900790711435300,Tue Mar 17 13:05:59 +0000 2020,Sautéed mushrooms and red onions tossed alongside mildly hot peperoncino chilli flakes native to Calabria in Italy,… https://t.co/ebasi2Okba
1239568590543585300,Mon Mar 16 15:05:56 +0000 2020,Thick cream cheese complementing the goodness of Coorgi avocados, topped off with thinly-sliced pickled cucumbers f… https://t.co/xIogmyw9gt
1238828456978157600,Sat Mar 14 14:04:55 +0000 2020,A modern twist on the ultimate Japanese comfort food,our Mushroom &amp; Bora Saul Rice Congee comes with all the essent… https://t.co/FLXQMlvBIF
1238088990995001300,Thu Mar 12 13:06:32 +0000 2020,@tejan0905 We would love to host you😍
1238086569145204700,Thu Mar 12 12:56:55 +0000 2020,@katranjeet @BangaloreMirror @Joshi_Aar Glad you had a good time!😍
1238086462802804700,Thu Mar 12 12:56:29 +0000 2020,@dlfavenue Hope you had a good time! 😍
1238086094974943200,Thu Mar 12 12:55:02 +0000 2020,@tejan0905 Hey, we might surprise you someday!😉
1238083039034392600,Thu Mar 12 12:42:53 +0000 2020,A great source of protein and rich in unsaturated fats, tiger prawns are also super-low on calories. Cooked in a mi… https://t.co/Fy8zmr1qZj
1236900376705560600,Mon Mar 09 06:23:24 +0000 2020,RT @LivingFoodz: #WeekendBinge How to make the most of the #weekend? Here's how!  @stregismumbai #CandyAndGreen @SmokeHouseDeli #BhauDajiLa…
1236593418815471600,Sun Mar 08 10:03:40 +0000 2020,In honour of International #WomensDay2020, we're shining the spotlight on women who've influenced the world in thei… https://t.co/svUYcqiHmW
1236176216182255600,Sat Mar 07 06:25:51 +0000 2020,Ladies, this #WomensDay2020, it's time to put women’s health first!   The Deli Classroom brings you a wholesome ses… https://t.co/1j85kfqo2Z
1235943280291876900,Fri Mar 06 15:00:15 +0000 2020,RT @IFCCI1: #IFCCI organized its Energy &amp; Utilities Committee Networking on Wednesday, 4th March 2020 at 6:30 p.m at @SmokeHouseDeli. It wa…
1235564680229187600,Thu Mar 05 13:55:50 +0000 2020,It’s #WorldBookDay and if you need us, we’ll be all cuddled up in a cozy (Kemp’s) corner, with our favourite classi… https://t.co/QVWgwJlm5B
1235175048475857000,Wed Mar 04 12:07:34 +0000 2020,Hang up on those hunger woes with some fresh, organic and wholesome on-the-go meals! You want to favourite this con… https://t.co/Jxez15fN1g
1235165047170551800,Wed Mar 04 11:27:50 +0000 2020,RT @dlfavenue: Insta-ready dishes and lots and lots more. Now serving at the brand new @SmokeHouseDeli at #DLFAvenue https://t.co/vwN9AxlzT4
1234383280402657300,Mon Mar 02 07:41:22 +0000 2020,To imagine is to evolve, and Smoke House Deli has a fresh new perspective! A new chapter of goodness begins with ou… https://t.co/rduxD5Maov
1233605256396841000,Sat Feb 29 04:09:47 +0000 2020,Always fresh and cooked with carefully-sourced organic produce, our #GoodnessToGo grub is always ready for your gra… https://t.co/uhETdQNQMs
1232264081949757400,Tue Feb 25 11:20:26 +0000 2020,Need a reason to celebrate this Leap Day? Well, we've got two! Because no matter how many days in a year, we're alw… https://t.co/KoOt46YIQZ
1231561892331606000,Sun Feb 23 12:50:11 +0000 2020,Hey munchkin, want a taste of some delicious pumpkin? Bite into our crunchy amalgamation of Roasted Pumpkin and Pot… https://t.co/PCyqYpYaIc
1230554969540968400,Thu Feb 20 18:09:02 +0000 2020,Did the chicken come first or the egg? No matter what the question, the Asian Roast Chicken will always be our answ… https://t.co/zuB6lkVU12
1229754183898648600,Tue Feb 18 13:06:59 +0000 2020,A culinary delight made from the freshest of seasonal fruits and flavours, our Beetroot and Red Onion Strata is the… https://t.co/dLKWMwI9VR
1229038321071870000,Sun Feb 16 13:42:24 +0000 2020,A marriage between the plumpest of plums and the prettiest of peaches, this Smoke House fresh fruit martini is all… https://t.co/x6ypqvAHbz
1228296015993659400,Fri Feb 14 12:32:45 +0000 2020,Looking for a special place to treat your Valentine? Bring them to the Deli for a pair of our lush sangrias on the house!
