id,created_at,text
1261068576884220000,Thu May 14 22:59:12 +0000 2020,This is banana republic stuff....Surely the WH will soon weigh in that these are "good people." https://t.co/hl32kQomEi
1261068075178299400,Thu May 14 22:57:13 +0000 2020,RT @Cecalli_Helper: This is outrageous! @SenSanders @StateDept @TheJusticeDept @NAACP @ACLU https://t.co/Sx4KfCTRmq
1261066747475628000,Thu May 14 22:51:56 +0000 2020,RT @Sara__Firth: Look at the level of anger American reporter @KevinVesey faced from members of the public while covering a rally.  As a jo…
1261065864373248000,Thu May 14 22:48:26 +0000 2020,RT @FollowAlisonT: Join us on Tuesday at 11 NY to discuss 🦠 and dystopian fiction on the next Breaking the Fever webinar with @EthicalSyste…
1261065341645533200,Thu May 14 22:46:21 +0000 2020,RT @RCarranza_: He thinks that all of us — doctors, nurses, essential workers, the jobless and the poor, ordinary Americans, the 84,000 who…
1261040159249911800,Thu May 14 21:06:17 +0000 2020,RT @EstoniaUN: 🗓️ On 15 May at #UNSC   👥 Annual discussion on the working methods of @UN #SecurityCouncil on the state of play &amp; ways to en…
1261016367412756500,Thu May 14 19:31:45 +0000 2020,RT @EstoniaUN: #UNSC press elements 📄 on #Yemen   #UNSC emphasised their steadfast support for the Special Envoy Griffiths &amp; his efforts to…
1260978005217808400,Thu May 14 16:59:18 +0000 2020,RT @TheUNTimes: "We have a once in a lifetime opportunity to prove that the world is more than just a collection of individual countries wi…
1260962686344577000,Thu May 14 15:58:26 +0000 2020,In UN Security Council on Yemen, #Yemen Amb. is giving what has become a stock speech reinforcing government suppor… https://t.co/IU9PuqrUYt
1260960956999438300,Thu May 14 15:51:34 +0000 2020,In UN Security Council on Yemen, @EstoniaUN urges "special attention" at this perilous time to the most vulnerable… https://t.co/a5W2pmPjBg
1260960540563779600,Thu May 14 15:49:55 +0000 2020,In UN Security Council on Yemen, @EstoniaUN urges all sides to both uphold the current month-long cease fire and ag… https://t.co/l06oHraII4
1260959090274119700,Thu May 14 15:44:09 +0000 2020,In UN Security Council on Yemen, @USUN cites the "contagious" cautious optimism of Envoy Griffiths, urges an immedi… https://t.co/3J9iVh4VZh
1260958340093546500,Thu May 14 15:41:10 +0000 2020,In UN Security Council on Yemen, @indonesiaunny notes that a "worn down" health system is unlikely to be able to re… https://t.co/9yCd6RsFtr
1260957871690440700,Thu May 14 15:39:18 +0000 2020,RT @aManCalledG: U.S. Seeks Iran Arms Embargo Extension | P4+1 and Iran Nuclear Deal Alert, May 14, 2020 | Arms Control Association https:/…
1260957721253351400,Thu May 14 15:38:42 +0000 2020,In UN Security Council on Yemen, @indonesiaunny laments that circumstances on the ground remain dire despite the be… https://t.co/vSDQ6ezisG
1260956952596746200,Thu May 14 15:35:39 +0000 2020,In UN Security Council on Yemen, @Chinamission2un cites this "war with no winners," with conflict levels in Yemen t… https://t.co/JXlrPnpkf8
1260956029929558000,Thu May 14 15:31:59 +0000 2020,In UN Security Council on Yemen, @DominicanRepUN cites progress on containing desert locusts that demonstrates the… https://t.co/YEGubyYfc3
1260955556212289500,Thu May 14 15:30:06 +0000 2020,In UN Security Council on Yemen, @DominicanRepUN expresses concern at the "management" of key Yemeni institutions,… https://t.co/CB3Ae2oCTJ
1260954686359842800,Thu May 14 15:26:39 +0000 2020,In UN Security Council on Yemen, @SAMissionNY urges a "purely technical" response to the long-neglected tanker issu… https://t.co/22tMQlRfwA
1260953644578603000,Thu May 14 15:22:30 +0000 2020,In UN Security Council on Yemen, @SAMissionNY notes that Yemen is simply unprepared to handle the physical and psyc… https://t.co/hzBb5CIik5
1260952809672933400,Thu May 14 15:19:11 +0000 2020,In UN Security Council on Yemen, @GermanyUN poses questions to the briefers, specifically asks for guidance on how… https://t.co/wA09DVBiDq
1260952341878112300,Thu May 14 15:17:20 +0000 2020,In UN Security Council on Yemen, @GermanyUN cites a country simply unprepared to meet the new health demands from C… https://t.co/2nzttf3D6G
1260951836019884000,Thu May 14 15:15:19 +0000 2020,Hoping and praying that this day could have been avoided for these refugees especially with health access so limite… https://t.co/gYnOkk5OpP
1260950547022184400,Thu May 14 15:10:12 +0000 2020,In UN Security Council on Yemen, @Niger_ONU insists that "the parties must convince themselves" that their differen… https://t.co/gIXatvPbrd
1260949850847424500,Thu May 14 15:07:26 +0000 2020,In UN Security Council on Yemen, @PmTunisia highlights a "war shattered country" invaded by COVID infections and ch… https://t.co/eAmATg3xDW
1260948699624202200,Thu May 14 15:02:51 +0000 2020,In UN Security Council on Yemen, @RussiaUN cites "regrettably modest" progress on implementation of Stockholm and o… https://t.co/IEdrw27UIx
