id,created_at,text
1260266546183708700,Tue May 12 17:52:13 +0000 2020,@okjonwright Hello,  Thank you for reaching out to us. Can you please DM us with your booking reference? We will lo… https://t.co/wqaqEIxp6a
1260206498552086500,Tue May 12 13:53:37 +0000 2020,@Erin_Brunet Hello,  Thank you for reaching out to us. Can you please DM us with your booking reference? We will lo… https://t.co/b6IS2B5Z7i
1260199204175126500,Tue May 12 13:24:38 +0000 2020,@doctorow Hello, could you please provide us a booking reference or ticket number in DM to look into it? Regards  /Nick
1260187774768029700,Tue May 12 12:39:13 +0000 2020,@charliexbutler Hello Charlie Butler, Thank you for reaching out to us. Could you DM us with more details? https://t.co/JiY1ELdkeh /Jul
1260186016352292900,Tue May 12 12:32:14 +0000 2020,@pcmichael Hello, Thank you for bringing this to our attention. Could you Dm us with more details? https://t.co/JiY1ELdkeh /Jul
1260185263684403200,Tue May 12 12:29:14 +0000 2020,@EFu1993 Hello, Thank you for reaching out to us. Could you DM us with more details? https://t.co/JiY1ELdkeh /Jul
1260171673535471600,Tue May 12 11:35:14 +0000 2020,@merhabasevgil1m Hello,  Thank you for reaching out to us. We invite you to click here https://t.co/i09bCX4dis for… https://t.co/qnqwoDl85b
1260170784191938600,Tue May 12 11:31:42 +0000 2020,@shahbaz001977 Hello,  Thank you for reaching out to us. We invite you to click here https://t.co/Wzaqjbmh7r for al… https://t.co/jK37ZEPfm5
1260164483336605700,Tue May 12 11:06:40 +0000 2020,@kimtipping Hello Kim, we sincerely regret hearing this. Kindly refer to your DMs as we followed up with your there. Regards  /Nick
1260156328120590300,Tue May 12 10:34:15 +0000 2020,@Brittany_Dada Hello,  Thank you for reaching out to us. Can you please DM us with your booking reference? We will… https://t.co/KmlGpf49xD
1260136791069335600,Tue May 12 09:16:37 +0000 2020,@Rohit80973183 @HardeepSPuri @CBCNews @PMOIndia Hello Rohit, we suggest you remove your tweet as it contains privat… https://t.co/hZGUMl7QTt
1260124212607451100,Tue May 12 08:26:38 +0000 2020,@MananParikh11 Hello Manan,  Thank you for reaching out to us.  We invite you to reach out to your local embassy fo… https://t.co/P2GRXKVbHX
1260074001231237000,Tue May 12 05:07:07 +0000 2020,@crgrs Hello there, thank you for reaching out to us. You can bring into your carry on if the bottle is less than 100ml.  Regards. / Émile
1260070710858449000,Tue May 12 04:54:03 +0000 2020,@sarah_gx1 Hello Sarah, thank you for reaching out to us. Could you provide us with your booking reference trough t… https://t.co/HcxjtMbB9A
1260064174262096000,Tue May 12 04:28:04 +0000 2020,@NAVEENRAPAKA3 Hello Naveen, we try the best we can to guide the passenger to explore our website for further infor… https://t.co/W6QfChtbPd
1260051638385029000,Tue May 12 03:38:15 +0000 2020,@Brxwnsxgar Hello there, thank you for reaching out to us. Could you provide us with your booking reference trough… https://t.co/tjuuQ1W0zt
1260040432664395800,Tue May 12 02:53:44 +0000 2020,@tmartini Hello Todd, could you provide us with your booking reference trough the following link:… https://t.co/byihfiKzm7
1260036914243043300,Tue May 12 02:39:45 +0000 2020,@SoumyajitTaraf3 Hello Soumyajit, thank you for reaching out to us. We try the best we can to guide the passenger t… https://t.co/7Gshy63G67
1260034934959337500,Tue May 12 02:31:53 +0000 2020,@Mandeepgulati82 Hello Mandeep, we suggest deleting this tweet as it contains confidential information. Please DM u… https://t.co/yV0YEUgc98
1260026482249752600,Tue May 12 01:58:18 +0000 2020,@sahota_harj Hello, could you please DM your booking reference? We'll take a look into it. https://t.co/Y5350m96oC /Lea
1260025711840030700,Tue May 12 01:55:14 +0000 2020,@afsharry Hello,  Could you please provide us with further details in a direct message, so we may better advise?… https://t.co/2P3PTyT7ao
1260023951670907000,Tue May 12 01:48:14 +0000 2020,@themattymac Hello Mike, could you please DM your booking reference? We'll take a look into it. https://t.co/Y5350m96oC /Lea
1260021763867435000,Tue May 12 01:39:33 +0000 2020,@paul__tully Hello Paul, we suggest deleting this tweet as it contains confidential information. Please DM us inste… https://t.co/YDiC4bDVoD
1260020305797369900,Tue May 12 01:33:45 +0000 2020,@Sophia_K_G Hello Sophia, could you please DM further details, so we may better advise? https://t.co/Y5350m96oC /Lea
1259984816176578600,Mon May 11 23:12:44 +0000 2020,@lefred06 Bonjour Fred, nous vous invitons a nous envoyer un message privé avec votre numéro de référence.  /Frank
1259981500960968700,Mon May 11 22:59:33 +0000 2020,@dollatoma Hello,  Thank you for reaching out to us. Could you please provide us with your ticket number in a direc… https://t.co/mN5HKusZNS
1259978380461604900,Mon May 11 22:47:09 +0000 2020,@nenarosario Hello, we suggest reviewing the entry requirements here: https://t.co/ySiXXgCeVD /Lea
1259974969687257000,Mon May 11 22:33:36 +0000 2020,@Dan_The_TV_Man Hello Dan, we're sorry to hear that. Could you please DM your booking reference? We'll take a look… https://t.co/6y5L8PbaZT
1259941971092799500,Mon May 11 20:22:29 +0000 2020,@CliziaGuard Hello Clizia, we apologize for the delayed reply. We will follow up in DM. /Lea
1259940772134224000,Mon May 11 20:17:43 +0000 2020,R.I.P. Slt. Cowbrough. Our deepest condolences go out to her family and friends. // R.I.P. Slt Cowbrough. Nous adre… https://t.co/066XELNVfH
1259938878745718800,Mon May 11 20:10:11 +0000 2020,@Michaelyun12 Hello Michael, could you please provide us with your booking reference and further details in DM? We'… https://t.co/1hP24qwz79
1259934102066794500,Mon May 11 19:51:13 +0000 2020,@AnneIbanez11 Hello Anne, we suggest deleting this tweet as it contains confidential information. We suggest review… https://t.co/sTzivmNDmw
1259932986524475400,Mon May 11 19:46:47 +0000 2020,@Whyyc1 Hello,  Thank you for reaching out to us. Could you please provide us with your ticket number in a direct m… https://t.co/V5aJTgvsPx
1259932443215364000,Mon May 11 19:44:37 +0000 2020,@veronica_vm_ Thank you for brightening our day with such a kind message, Veronica!❤️ We'll pass this along to the crew.
1259931690027421700,Mon May 11 19:41:37 +0000 2020,@jtnotes Hello there, can you please send us a DM with your booking reference? We'll see if we can assist you from here.  /Frank
1259912839256514600,Mon May 11 18:26:43 +0000 2020,@JENNIFE81314643 You're welcome Jennifer! Thank you for the work that you do! We hope to see you soon! /Max
1259909848696860700,Mon May 11 18:14:50 +0000 2020,@JENNIFE81314643 Hi Jennifer, please see our reply to your DM. /Max
1259907784658862000,Mon May 11 18:06:38 +0000 2020,@TamaraVineberg Hello Tamara, could you please DM your booking reference? We'll take a look into it. https://t.co/Y5350lRvx4 /Lea
1259891421840052200,Mon May 11 17:01:37 +0000 2020,@ElKnuckelhombre Hello, We're sorry to hear this. Could you Dm us more details? https://t.co/JiY1ELdkeh /Jul
1259890439387328500,Mon May 11 16:57:43 +0000 2020,@Rajan_NV Could you send us a Direct Message with your booking reference? https://t.co/JiY1ELdkeh /Jul
1259890115922530300,Mon May 11 16:56:25 +0000 2020,@Rajan_NV Hello,  Thank you for reaching out to us. Can you please DM us with your booking reference? We will look… https://t.co/D3ecW75f8d
1259884691219460000,Mon May 11 16:34:52 +0000 2020,@priyank_bm @HeathrowAirport Hello Priyank Mandaviya, Thank you for reaching out to us. Could you Dm us with your b… https://t.co/qDfQOZww0d
1259869530853171200,Mon May 11 15:34:38 +0000 2020,@CaraDeCarlo Hello Cara, Thank you for reaching out to us. Could you Dm us with more details? https://t.co/JiY1ELdkeh /Jul
1259865721137442800,Mon May 11 15:19:29 +0000 2020,@DavePerryCGAI Hello,  Thank you for reaching out to us. Can you please DM further details so we can better advise?… https://t.co/9qmCMh2B87
1259858288700731400,Mon May 11 14:49:57 +0000 2020,@lixiacsl Bonjour,  Nous vous invitons à nous fournir votre numéro de référence en message privé, si plus d'assista… https://t.co/NaWxvPCuV3
1259855346333626400,Mon May 11 14:38:16 +0000 2020,@EthanEido Hello, Thank you for reaching out to us. Could you Dm us with more details? https://t.co/JiY1ELdkeh /Jul
1259849490774872000,Mon May 11 14:15:00 +0000 2020,@Chrispy84004541 Hello, Thank you for reaching out to us. Could you Dm us with your booking reference? https://t.co/JiY1ELdkeh /Jul
1259835411389710300,Mon May 11 13:19:03 +0000 2020,@PollyBresnett Hello Polly, Thank you for reaching out to us. We suggest you to delete this tweet since it contains… https://t.co/MwKl0XcZaB
1259832833209753600,Mon May 11 13:08:48 +0000 2020,@mwbotelho Hello Mariane, thank you for reaching out to us. We just did! Kindly refer to it. Best regards /Nick
1259815179887562800,Mon May 11 11:58:39 +0000 2020,@kaustavtheghosh Hello Kaustav Ghosh, We suggest you to delete this tweet since it contains your personal informati… https://t.co/X5XsZYUKn2
1259810673695035400,Mon May 11 11:40:45 +0000 2020,@sdemers10 Hello,  Thank you for reaching out to us. Yes, you can. We invite you to click here… https://t.co/ENnKiQJLUN
1259807574385406000,Mon May 11 11:28:26 +0000 2020,@gaffneymar Hi Mark, are you also entering the two zeros as indicated here https://t.co/zYutVgS1ha ? Please DM furt… https://t.co/YkYLnOhizw
1259807461386735600,Mon May 11 11:27:59 +0000 2020,@jptaylor541 Hello Joelle Taylor, Thank you for reaching out to us. Could you Dm us your booking reference? https://t.co/JiY1ELdkeh /Jul
1259793436078755800,Mon May 11 10:32:15 +0000 2020,@sood_pb35 Hello,  Thank you for reaching out to us. We invite you to click here https://t.co/i09bCX4dis  for all t… https://t.co/V8jbKaHR7S
1259758830415761400,Mon May 11 08:14:45 +0000 2020,@dontdoit96 Hello Kate, sorry for the late response. We've been experiencing a higher volume of inbound messages.Th… https://t.co/obMZj63Nu8
1259720982387929000,Mon May 11 05:44:21 +0000 2020,@s_saky Hello there, could you send us a DM trough the following link: https://t.co/Y5350lRvx4 so we may better assist you? / Émile
1259676277092561000,Mon May 11 02:46:42 +0000 2020,@NoyahKing Hello, pls DM us further information, so we could better advise. /Mary Ann
1259666202974183400,Mon May 11 02:06:40 +0000 2020,@pramahir Hello Hiren, could you provide us with your booking reference trough the following link:… https://t.co/1P9z5F3sM3
1259637343968989200,Mon May 11 00:12:00 +0000 2020,@willincanada Hello William, could you provide us with your booking reference trough the following link:… https://t.co/jJgIPAjoK6
1259628179528003600,Sun May 10 23:35:35 +0000 2020,@jeanbatchelor12 Hello Jean, we are currently experiencing very high message volumes since the Coronavirus outbreak… https://t.co/j3MuQWwxi6
1259608732411080700,Sun May 10 22:18:18 +0000 2020,@AlbertPetrus4 Hello Albert, could you provide us with your booking reference trough the following link:… https://t.co/bTHvJuvTbd
1259546001901305900,Sun May 10 18:09:02 +0000 2020,@Elisabe43666918 ❤️
1259527338192224300,Sun May 10 16:54:52 +0000 2020,@laylat93 Hello,  Thank you for reaching out to us. Could you please provide us with your ticket number in  direct… https://t.co/2CA7T1EKkF
1259520589921955800,Sun May 10 16:28:04 +0000 2020,@Sabres98 Hello,  Thank you for reaching out to us. Could you please provide us with your ticket number in a direct… https://t.co/B7KMcw4Tk8
1259519943751721000,Sun May 10 16:25:29 +0000 2020,@TaheraZahid Hello Tahera, could you please DM his booking reference? We'll take a look into it. https://t.co/Y5350lRvx4 /Lea
1259515100035244000,Sun May 10 16:06:15 +0000 2020,@pedrolpz14 Hello,  Thank you for reaching out to us. For further details, we invite you to send us a direct messag… https://t.co/YjthUaHPo2
1259510093420335000,Sun May 10 15:46:21 +0000 2020,@pedrolpz14 Hello, thank you for reaching out to us. We suggest to review the following link for further details:… https://t.co/PH4QvikKSZ
1259503168418992000,Sun May 10 15:18:50 +0000 2020,@sidray79 Hello, thank you for reaching out to us. Kindly refer to your DMs as we followed up with you. Regards  /Nick
1259492388080418800,Sun May 10 14:36:00 +0000 2020,Having worked as part of the same cabin crew twice, Annie and Mylène Lussier are a mother-daughter duo who know how… https://t.co/116Av9IPw9
1259492136753328000,Sun May 10 14:35:00 +0000 2020,Ayant fait partie du même équipage à 2 reprises, le duo mère-fille Annie et Mylène Lussier est très uni, autant à b… https://t.co/AYNfwB2oOM
1259486964333584400,Sun May 10 14:14:27 +0000 2020,@chakdan Hello, Thank you for reaching out to us. We are very concerned to hear this. Could you please provide us f… https://t.co/SB6WT6Vn8z
1259459866470596600,Sun May 10 12:26:46 +0000 2020,@MatthewPWalton Hello,  Thank you for reaching out to us. Could you please provide us with your ticket number in a… https://t.co/AiAHn4T2Bx
1259459512827871200,Sun May 10 12:25:22 +0000 2020,@PoojaGidwani Hello, thank you for reaching out to us. Kindly provide us a booking reference or ticket number in DM… https://t.co/RnWYc52KBL
1259452267670966300,Sun May 10 11:56:34 +0000 2020,@gemmmboi Hello, Thank you for reaching out to us. It will be our pleasure to assist. Please provide us with your t… https://t.co/xNszlZbI5t
1259451811901169700,Sun May 10 11:54:46 +0000 2020,@scotty1123 Hello Scotty, thank you for reaching out to us. Refunds are as per fare rules and through your issuing… https://t.co/wISh4NXCIL
1259442559509766100,Sun May 10 11:18:00 +0000 2020,@conor247365 Hello Conor, we are monitoring the situation closely. We suggest to keep an eye on the following link… https://t.co/SHDPTApK9I
1259427951621427200,Sun May 10 10:19:57 +0000 2020,@_aecrim Hello,  Thank you for reaching out to us. Could you please provide us with your ticket number in a direct… https://t.co/jH2XftbaDX
1259343822007525400,Sun May 10 04:45:39 +0000 2020,@3illySlick Thank you for reaching out to us. Please have you friend send us her booking reference directly, so we… https://t.co/IDoTBzpM8D
1259338304752881700,Sun May 10 04:23:43 +0000 2020,@3illySlick Hello Billy, pls DM us your booking reference, so we could better follow up from here. /Mary Ann
1259334599345348600,Sun May 10 04:09:00 +0000 2020,@Acharya58873323 Hello Acharya, we invite you to send us your booking reference in the following link… https://t.co/aAEYEAXdHb
1259291328858542000,Sun May 10 01:17:03 +0000 2020,@jasonjueLA Hello Jason, we invite you to send us your booking reference or ticket number in the following link… https://t.co/vcEkzOECaM
1259282836173054000,Sun May 10 00:43:19 +0000 2020,@KTammaro077 Hello Katie, we invite you to send us your booking reference or ticket number in the following link… https://t.co/Vhl1tEMcl5
1259266087591559200,Sat May 09 23:36:45 +0000 2020,@lkbobadilla Hello Lucas, we invite you to send us your ticket number starting with 014.. in the following link… https://t.co/1YYpAGovWS
1259207468971950000,Sat May 09 19:43:50 +0000 2020,@meredithheron Hello Meredith Heron, Thank you for bringing this to our attention. Could you Dm us more details?… https://t.co/pCUtaxsYQ7
1259191803963674600,Sat May 09 18:41:35 +0000 2020,@1Reychii Bonjour, les vols que vous pouvez réserver sur notre site web sont les vols que nous sommes en train d'op… https://t.co/GwGiwEMj0x
1259182702948950000,Sat May 09 18:05:25 +0000 2020,@EzliteL Hello, Thank you for reaching out to us. Could you Dm us your booking reference? https://t.co/JiY1ELdkeh /Jul
1259182538565787600,Sat May 09 18:04:46 +0000 2020,@msheehanperkins Hello Madeleine S Perkins, Thank you for reaching out to us. Could you Dm us your booking referenc… https://t.co/Z0h0ljXLYz
