id,created_at,text
1260191894606237700,Tue May 12 12:55:35 +0000 2020,Dithering and Open Versus Free  https://t.co/JF0CBalanO  Announcing Dithering (again), and why it is important to f… https://t.co/Ymz5ZU3Ta6
1258585934406140000,Fri May 08 02:34:04 +0000 2020,@larryv @daringfireball absolutely
1255142939610583000,Tue Apr 28 14:32:50 +0000 2020,The Anti-Amazon Alliance  https://t.co/XMJuo8l5Fz  Google Shopping is changing its model, suggesting Google is join… https://t.co/yNx4bvzIHu
1252586222792216600,Tue Apr 21 13:13:22 +0000 2020,How Tech Can Build  https://t.co/yj7TKrKJ4g  Marc Andreessen has written (another) seminal essay: It's Time to Buil… https://t.co/ivpD7bFmzo
1250960891618578400,Fri Apr 17 01:34:52 +0000 2020,The NBA and Microsoft  https://t.co/arf7kBsNRP  The NBA and Microsoft are announcing a new partnership. The news, s… https://t.co/rgZeB2Erra
1250851495735521300,Thu Apr 16 18:20:10 +0000 2020,The podcast for this Daily Update is free to everyone.  Sign-up here: https://t.co/EyRTmRvNZf https://t.co/zED18aLuQj
1250809667049013200,Thu Apr 16 15:33:58 +0000 2020,New: Listen to Free Weekly Articles in Your Podcast Player Without a Subscription  https://t.co/EyRTmRvNZf
1250651619139575800,Thu Apr 16 05:05:56 +0000 2020,The upgrade is completed.
1250622855638728700,Thu Apr 16 03:11:38 +0000 2020,The Stratechery podcast server is undergoing an upgrade. This should not have any impact on subscribers, but please… https://t.co/Y6EpUYkHly
1250075518717833200,Tue Apr 14 14:56:43 +0000 2020,Coronavirus Clarity  https://t.co/qNlFkWQixE  The coronavirus crisis is making clear just how powerful tech compani… https://t.co/PAuMcz4QK6
1247525103761387500,Tue Apr 07 14:02:17 +0000 2020,Apple, Amazon, and Common Enemies  https://t.co/TXrGBEeald  It is tempting — and useful — to look at Apple and Amaz… https://t.co/1U0dedTQ18
1244983515264893000,Tue Mar 31 13:42:55 +0000 2020,Unmasking Twitter  https://t.co/aRdS9dXA3U  Twitter has a new policy to listen to experts about what content to lim… https://t.co/kik2SMQnHc
1242442318751215600,Tue Mar 24 13:25:06 +0000 2020,Compaq and Coronavirus  https://t.co/FXMsh1h7Pl  Compaq's descent from a company of action to a brand is a frighten… https://t.co/RuNRBOU5So
1239907635819712500,Tue Mar 17 13:33:11 +0000 2020,Defining Information  https://t.co/5djxcIQ0hT  In a follow-up to Zero Trust Information, exploring the four types o… https://t.co/oNN0CeFxRe
1237771583092969500,Wed Mar 11 16:05:16 +0000 2020,Zero Trust Information  https://t.co/AdyabcVUW9  Zero Trust Networking is security with Internet assumptions; there… https://t.co/VL6DvBUu6U
1232319201638903800,Tue Feb 25 14:59:27 +0000 2020,Email Addresses and Razor Blades  https://t.co/v0ZwyyRhmI  The fate of Harry's and other DTC companies, particularl… https://t.co/FuZixDXvJL
1229773740134797300,Tue Feb 18 14:24:42 +0000 2020,@benthompson The issue some folks were having with links not appearing to be valid podcasts should be resolved.
1229768913207955500,Tue Feb 18 14:05:31 +0000 2020,@benthompson We've identified the issue; will be fixed in a few minutes.
1229763722970710000,Tue Feb 18 13:44:54 +0000 2020,@benthompson Yes, we're having some scaling issues — that is why it is saying "podcast not found". Resolving...
1229751510755446800,Tue Feb 18 12:56:22 +0000 2020,The Daily Update Podcast  https://t.co/s6Gz78CUCH  A new product for Stratechery subscribers: the Daily Update, in audio form
