id,created_at,text
1261267128906387500,Fri May 15 12:08:11 +0000 2020,@neeratanden I just told the mister that this WILL be happening. We’re in.
1261266850765246500,Fri May 15 12:07:05 +0000 2020,@cmclymer Call. Your. Doctor. If you’re not sure I mean it: CALL. YOUR. DOCTOR. It’s likely nothing to worry about,… https://t.co/gir3qCqpdW
1261263126315577300,Fri May 15 11:52:17 +0000 2020,@whitecrow43 I haven’t seen any of our seven grandchildren in months. I miss them so much.
1261261410019000300,Fri May 15 11:45:27 +0000 2020,It’s Friday! Let’s start the day with a deep breath and a good roar. https://t.co/K3jI58EB4e
1261087009621278700,Fri May 15 00:12:27 +0000 2020,Tooth brushing needn’t be boring. This is my Cait in 1994. I was a newly single mother, and we loved this little ap… https://t.co/3r3yflJlXf
1261054733533548500,Thu May 14 22:04:12 +0000 2020,@soledadobrien And with your new puppy in her forever home.💜
1261032603488006100,Thu May 14 20:36:16 +0000 2020,I cherish this book, LOVE, written by @mattdelapena and illustrated by @lorenlong. https://t.co/9GV95HMiMo
1261008479269068800,Thu May 14 19:00:24 +0000 2020,@paulakampf Thank you, Paula!
1261008346305396700,Thu May 14 18:59:52 +0000 2020,This just made my day. Thank you, @campbell_cass. I can’t wait to hear how you bring to life all the people in… https://t.co/LVLzSfQtIJ
1260902342511210500,Thu May 14 11:58:39 +0000 2020,Sometimes, I feel guilty in moments of happiness. But I try to remind myself that no good comes from squandering wh… https://t.co/MpDH64UBKx
1260764803204894700,Thu May 14 02:52:07 +0000 2020,My mom always said being a Christian means fixing yourself and helping others, not the other way around.  In 2020,… https://t.co/U7r5GYG3BU
1260763541537206300,Thu May 14 02:47:06 +0000 2020,What a loss. I was a Guild member for all of my 18 years at The Plain Dealer. Without Guild protections, I could ne… https://t.co/xfG10E8edi
1260753102262730800,Thu May 14 02:05:37 +0000 2020,Spring, 2012. Franklin was six months old. ⁦@SenSherrodBrown⁩ was age nine.  This is your evening reminder to breat… https://t.co/E2o5SNxzhg
1260680917141651500,Wed May 13 21:18:47 +0000 2020,@laurenmylo Oh my goodness. Thank you, Lauren!
1260678109793341400,Wed May 13 21:07:38 +0000 2020,So grateful for this virtual book tour in this extraordinary time. No matter where you live, you can join me.  To y… https://t.co/BCfWUH7FL5
1260672180670599200,Wed May 13 20:44:04 +0000 2020,Reach out even if you fear it won't help. When this is over, it will help you to know that you tried. https://t.co/RP1BjA2Xbh
1260670653931405300,Wed May 13 20:38:00 +0000 2020,@emulkearns Erin, I never say no to a child's face on the screen. I remember those days, long before Zoom.
1260648783739621400,Wed May 13 19:11:06 +0000 2020,@Isabelwilkerson Welcome back, Isabel. Can't wait to read your new masterpiece.
1260646684851241000,Wed May 13 19:02:46 +0000 2020,I'm really looking forward to this tomorrow.   (I may have sent a screenshot of this to "Mr. Connie Schultz.") https://t.co/gMGiQpZ9if
1260628687273287700,Wed May 13 17:51:15 +0000 2020,“Replied the immunologist to the ophthalmologist: ‘I give advice according to the best scientific evidence.’” I may… https://t.co/MzJzMU3MCr
1260574108804399000,Wed May 13 14:14:22 +0000 2020,@HawaiiDelilah What I miss most is not being there for people who need me, particularly our kids with young childre… https://t.co/SkilxfymJ8
1260558716677558300,Wed May 13 13:13:12 +0000 2020,@soledadobrien You had to go and brag. Envious, even now.
1260551338305486800,Wed May 13 12:43:53 +0000 2020,Whenever I look in the mirror and think my hair has never looked this bad, I remember 7th grade me thinking a home… https://t.co/yFD1Lt5pTJ
1260435018498916400,Wed May 13 05:01:40 +0000 2020,@WFKARS I try to know where I want to end up because it helps organize my thoughts. The walk-off should reward the… https://t.co/ZJAm3DpuWI
1260433610110308400,Wed May 13 04:56:05 +0000 2020,This makes me so happy so why am I crying? https://t.co/yMDD3R2gtY
1260428843657068500,Wed May 13 04:37:08 +0000 2020,NEWER: The presidential election is November 3, regardless of Jarred Kushner’s refusal to acknowledge this. https://t.co/6hNHLUWyCp
1260320160348602400,Tue May 12 21:25:16 +0000 2020,@BCDreyer I adored her. Still watch her movies.
1260315682077585400,Tue May 12 21:07:28 +0000 2020,True, some days work out better than others. On we go.  This is your reminder to breathe. https://t.co/pqStWLvm2z
1260279769788227600,Tue May 12 18:44:46 +0000 2020,@adamwren https://t.co/d8rZqUn6vl
1260277921148797000,Tue May 12 18:37:25 +0000 2020,@kasie And they know it. https://t.co/AkCd1jLjFY
1260273980503703600,Tue May 12 18:21:46 +0000 2020,@JessicaValenti I look forward to voting for her some day.
1260183628233007000,Tue May 12 12:22:44 +0000 2020,This man has chosen to put senators, staff and Capitol  workers at risk of contracting COVID-19 so that he can push… https://t.co/B4wIUyCRG1
1260058156140564500,Tue May 12 04:04:09 +0000 2020,@BCDreyer Hey, you. Happy Birthday. What would we do without you?
1260047832934944800,Tue May 12 03:23:08 +0000 2020,RT @SherylNYT: BREAKING: Dr. Anthony Fauci tells me he will warn the Senate on Tuesday that Americans will face "needless suffering and dea…
1259973215419596800,Mon May 11 22:26:38 +0000 2020,Millions of women watch this and think, “I divorced that.” https://t.co/8OFdAL5w3m
