id,created_at,text
1258866970537144300,Fri May 08 21:10:49 +0000 2020,We work with an awesome team of local mechanics in Uganda who keep clean water flowing at the water points you fund… https://t.co/ApPTyFqH1Y
1258752043029799000,Fri May 08 13:34:08 +0000 2020,Right now, no matter where you live, #handwashing  with clean water and soap is the first line of defense against C… https://t.co/8JONf4kNDH
1258457101497761800,Thu May 07 18:02:08 +0000 2020,We're Live on Facebook for a Q&amp;A about charity: water's COVID-19 Relief Fund with our founder &amp; CEO @scottharrison… https://t.co/OjZcuV6LqF
1258419576737538000,Thu May 07 15:33:02 +0000 2020,RT @HelvetasUSA: Thanks to @charitywater's #Covid_19 Relief Fund, we could quickly reach thousands of vulnerable households in remote commu…
1258385210816823300,Thu May 07 13:16:28 +0000 2020,Join us today at 1pm ET on Facebook Live for a Q&amp;A about charity: water's COVID-19 Relief Fund with our founder &amp; C… https://t.co/7UbKzf3VUg
1258164416828170200,Wed May 06 22:39:07 +0000 2020,To learn more about our COVID-19 Relief Fund, join us tomorrow at 1pm ET for a Q&amp;A on Facebook Live with our founde… https://t.co/hey2mc2LI3
1258164414974513200,Wed May 06 22:39:06 +0000 2020,Wow! What an incredible #GivingTuesdayNow. We're so grateful for each and every one of you who helped spread the wo… https://t.co/Tiunn2MfFu
1258108133517525000,Wed May 06 18:55:28 +0000 2020,@tshakalee We're so grateful for you! Thanks for your donation.
1258019315523223600,Wed May 06 13:02:32 +0000 2020,RT @charitywater: As the coronavirus spreads around the globe, the communities we serve are at an unprecedented risk. Our local partners ar…
1258011952774865000,Wed May 06 12:33:16 +0000 2020,RT @HelvetasUSA: Our programs are rapidly scaling activities to slow the spread of the virus, like these women in #Nepal producing much nee…
1258011650894028800,Wed May 06 12:32:04 +0000 2020,RT @DuPontWater: .@DuPont_News is proud to partner with @charitywater to help mitigate spread of #COVID19 in vulnerable communities. Join u…
1257879948725047300,Wed May 06 03:48:44 +0000 2020,@SethGreen We appreciate you, Seth. Thanks for supporting our local partners on the frontlines.
1257879401540305000,Wed May 06 03:46:34 +0000 2020,RT @SethGreen: Want to help developing countries fight COVID-19? It starts with clean water. Your donation will empower @charitywater’s loc…
1257770108174372900,Tue May 05 20:32:16 +0000 2020,These are just some of the ways our local partners are equipping and empowering their neighbors in need. They’re de… https://t.co/0P0M5oqYqN
1257770106190467000,Tue May 05 20:32:16 +0000 2020,Handwashing stations. Soap distribution. Training on social distancing. Educational posters translated into local l… https://t.co/j7IIri0b7P
