id,created_at,text
1259380554912297000,Sun May 10 07:11:37 +0000 2020,@Shreyasinghjeet Hi There, we apologize for the inconvenience caused. Please DM your gaana registered details (emai… https://t.co/5N2v4tjvyk
1259379811698401300,Sun May 10 07:08:39 +0000 2020,@iamlavityagi Hi There, we apologize for the inconvenience caused. Please DM your gaana registered details (email o… https://t.co/vCz4B1pvrc
1259379567099146200,Sun May 10 07:07:41 +0000 2020,@TRICKZON1 Hi There, we apologize for the inconvenience caused. Please DM your gaana registered details (email or p… https://t.co/L8EIswZOpz
1259370133723549700,Sun May 10 06:30:12 +0000 2020,Nothing brings people together like good food 🥘! Just one more day to go for our brand new #podcast 🎙 by… https://t.co/8cp8q8f6mp
1259370082196582400,Sun May 10 06:30:00 +0000 2020,Ghar kyu chhodna padta hai? Nayi jagha jaane ke baad kis tarah ki chaunautiyan aati hai, kis tarah unke liye hum kh… https://t.co/X7J8uBCu7H
1259354982849155000,Sun May 10 05:30:00 +0000 2020,"Ab to bhai chal padi, apni ye naav hai." To all the #daughters and #mothers, who row each other ahead! Wishing you… https://t.co/vH6QicelhY
1259122838725771300,Sat May 09 14:07:32 +0000 2020,@Rajat_Dhoot Dear User, Thank you for sharing your valuable feedback. We will certainly share it with the concerned team. Stay tuned!
1259122321937166300,Sat May 09 14:05:29 +0000 2020,@sudeepdhariwal Hi There, we apologize for the inconvenience caused. Please check your DM and respond so that the t… https://t.co/4ToQ4NqJS0
1259116033660481500,Sat May 09 13:40:30 +0000 2020,@soumodgofficial Hi There, we apologize for the inconvenience caused. Please check your DM and respond so that the… https://t.co/SI4pMTqZTT
1259113391202992000,Sat May 09 13:30:00 +0000 2020,Iss ‘High Rated Gabru’ ke gaane har occasion ko ‘Suit Suit’ karte hain! Listen to his biggest hits on the ‘Best of… https://t.co/xkppMxEwln
1259108158816964600,Sat May 09 13:09:12 +0000 2020,@funddistributor Hi There, we apologize for the inconvenience caused. Please DM your Gaana registered details (emai… https://t.co/fVj35zs5OS
1259107741194313700,Sat May 09 13:07:33 +0000 2020,@abhijeetkhare Dear User, Thank you for sharing your valuable feedback. We will certainly share it with the concern… https://t.co/wY6Tvp0VeZ
1259107280634515500,Sat May 09 13:05:43 +0000 2020,@Boga051 Dear User, Thank you for sharing your valuable feedback. We will certainly share it with the concerned team. Stay tuned!
1259068093336182800,Sat May 09 10:30:00 +0000 2020,His name is as fast and furious as his songs. Can you guess what’s common here?   #GuessWhatsCommon https://t.co/ctcThuzRX3
1259056758506483700,Sat May 09 09:44:58 +0000 2020,“Main tumhara ....hoon tumhara kisi gair ka nahin" Listen to @_MohitChauhan Latest #GaanaOriginal #KisiGairkanahi s… https://t.co/dfEV6CLNgi
1259043570901606400,Sat May 09 08:52:33 +0000 2020,@92s_gudness Dear User, We would love to help you. Please connect with our support team over the HELP section or em… https://t.co/gf4ECpOye2
1259042989126455300,Sat May 09 08:50:15 +0000 2020,@the_vivekmishra Dear User, We would love to help you. Please connect with our support team over the HELP section o… https://t.co/Qa9z77COZ4
1259022256073834500,Sat May 09 07:27:52 +0000 2020,Catch @karanjohar in a #HeartToHeart conversation with the global spiritual leader @SriSri on how negativity is not… https://t.co/NwsVtzleJn
1259017095251017700,Sat May 09 07:07:21 +0000 2020,@iamashish_k Dear User, Thank you for sharing your valuable feedback. We will certainly share it with the concerned team. Stay tuned!
1259007694909800400,Sat May 09 06:30:00 +0000 2020,Kya looks sach me matter karte hai? Yahi wo sawaal hai jisse Zakir dara karte the aur agar aap bhi darte hai toh su… https://t.co/zfgNeOvKL5
1258977495962906600,Sat May 09 04:30:00 +0000 2020,He is our heartthrob. He is a hero. He is the romance king. It’s none other than @TheDeverakonda. Wishing him a hap… https://t.co/66UQwtv78w
1258932197693837300,Sat May 09 01:30:00 +0000 2020,“Sometimes a workout is all the therapy you need.” Work towards your fitness goals with our ‘Ultimate 80s Workout P… https://t.co/wQv57dXY1s
1258758773130182700,Fri May 08 14:00:52 +0000 2020,Be it Whattey Beauty or Ramuloo Ramulaa, Fridays are a lot better when it is upbeat and exciting. Start your mornin… https://t.co/EinSIoHvw2
1258748937378267100,Fri May 08 13:21:47 +0000 2020,@siddisimple Hi There, we apologize for the inconvenience caused. Please connect with us over the HELP section or e… https://t.co/Rw7RjsvVjZ
1258705774349389800,Fri May 08 10:30:16 +0000 2020,Presenting our latest Podcast 🎙where @SriSri engages in a #HeartToHeart conversation followed by Global meditation… https://t.co/zzGTt1w7ko
1258695159035777000,Fri May 08 09:48:05 +0000 2020,@shchilak Dear User, Thank you for sharing your valuable feedback. We will certainly share it with the concerned team. Stay tuned!
1258694974394101800,Fri May 08 09:47:21 +0000 2020,@yourmano87 Hi There, we apologize for the inconvenience caused. We have forwarded this to the concerned team. Plea… https://t.co/Kc2C6jBgHe
1258694051735322600,Fri May 08 09:43:41 +0000 2020,Catch @LifeOfPaaji with some of the coolest comedians, singers, and celebrities in chill conversations over lip-sma… https://t.co/EppthKdu4T
1258679145627742200,Fri May 08 08:44:28 +0000 2020,There can be no 'Mafiyaan' if you miss this sister duo's lit tracks! Wishing the sisters @Sukritikakar &amp;… https://t.co/r4qcvSy0fc
1258673374244397000,Fri May 08 08:21:32 +0000 2020,20 Years for the @DirRajivMenon's Masterpiece ‘Kandukondain Kandukondain’ starring a legendary ensemble cast. Reliv… https://t.co/dA2dMvfxr7
1258668725919572000,Fri May 08 08:03:03 +0000 2020,@VaibhavDaharwal Please be rest assured that our support team will help resolve your query.
1258659021814259700,Fri May 08 07:24:30 +0000 2020,‘Stuck With U’ and no regrets! The perfect song to tell your other half that you wouldn't have it any other way. Ch… https://t.co/3bes3F0zAO
1258655151771943000,Fri May 08 07:09:07 +0000 2020,@VaibhavDaharwal Dear User, We would love to help you. Please connect with our support team over the HELP section o… https://t.co/gDIZZYjVxj
1258646845980463000,Fri May 08 06:36:07 +0000 2020,@Nidhi140376 Hi There, We would love to help you. Please DM us so that the team can assist you further.
