id,created_at,text
1259912973985906700,Mon May 11 18:27:15 +0000 2020,Introducing the NEW Extra Bass Wireless Speakers, XB23, XB33, XB43 - Waterproof, Dustproof, Rustproof. 🎶… https://t.co/rUBP3eSY2m
1259520117970546700,Sun May 10 16:26:11 +0000 2020,@qrq1200 We apologize for the inconvenience. Please visit https://t.co/8DBZiEzxIq. Here you can find customer suppo… https://t.co/y8XmLiFMyn
1259519878035320800,Sun May 10 16:25:14 +0000 2020,@qrq1200 We apologize for the inconvenience. Please visit https://t.co/8DBZiEzxIq. Here you can find customer suppo… https://t.co/izw0zy7vnY
1259519083139289000,Sun May 10 16:22:04 +0000 2020,@vakulcrazy we're sorry for the inconvenience and late reply. For help with this, please reach out to @sony_india.… https://t.co/P5RwFeG1P8
1259518790980841500,Sun May 10 16:20:55 +0000 2020,@ausama47 we're sorry for the inconvenience and late reply. For help with this, please reach out to @sony_india. Th… https://t.co/q2qfBuQVt9
1259518045548097500,Sun May 10 16:17:57 +0000 2020,@harshtmk we're sorry for the inconvenience and late reply. For help with this, please reach out to @sony_india. Th… https://t.co/MHrwFM8tHo
1259517379014537200,Sun May 10 16:15:18 +0000 2020,@Suribachi16 @SonyMobileNews We apologize for the inconvenience. Please visit https://t.co/8DBZiEzxIq. Here you can… https://t.co/Sqbq5g7nl0
1259516822359072800,Sun May 10 16:13:05 +0000 2020,@RecorderElle Hi! For help with this, please reach out to @SonyUK. They will be glad to assist you! Thanks. Jay
1259516391620821000,Sun May 10 16:11:23 +0000 2020,@imvinodkrishnas We apologize for the inconvenience and late reply. Please visit https://t.co/8DBZiEzxIq. Here you… https://t.co/1IRDA9shOT
1259516197948870700,Sun May 10 16:10:36 +0000 2020,@Jayanadhi1812 We apologize for the inconvenience and late reply. Please visit https://t.co/8DBZiEzxIq. Here you ca… https://t.co/7o8YLhcS82
1259515899918397400,Sun May 10 16:09:25 +0000 2020,@Chandee83557549 We're sorry for the inconvenience and late reply. For help with this, please reach out to… https://t.co/XzQ9LxIy3i
1259515505242706000,Sun May 10 16:07:51 +0000 2020,@StixStyle Due to staff availability, customers may experience delays or disruptions in their ability to contact Pl… https://t.co/5sRKE9Y5BQ
1259511918819266600,Sun May 10 15:53:36 +0000 2020,@Its7Rishi Due to staff availability, customers may experience delays or disruptions in their ability to contact Pl… https://t.co/qJukUBkx8I
1259511588542914600,Sun May 10 15:52:17 +0000 2020,@austinlew05 Due to staff availability, customers may experience delays or disruptions in their ability to contact… https://t.co/a9yg0mtkfZ
