id,created_at,text
809711875726393300,Fri Dec 16 10:48:49 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) 🔹🆓Grow followers ➪ https://t.co/oIE6AHdQhZ 🆓🔹
808987087336853500,Wed Dec 14 10:48:46 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) (Want this? It's FREE! https://t.co/1y3DKKXVCd)
808262315720265700,Mon Dec 12 10:48:47 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/FGIBwMJBOY
807175136357085200,Fri Dec 09 10:48:43 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) &gt;&gt; Want this 🆓? https://t.co/FGIBwMJBOY
806455635827105800,Wed Dec 07 11:09:41 +0000 2016,Thanks for the recent follow @MyPorscheAgents @SASkidmore Happy to connect :) have a great Wednesday. &gt;&gt; Get FREE? https://t.co/z3KHO8TBLD
806450354028216300,Wed Dec 07 10:48:42 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) (Want this 🆓? &gt;&gt; https://t.co/k12V7pYImL)
805731486695649300,Mon Dec 05 11:12:10 +0000 2016,Thanks for the recent follow @QProductsServic @NirajPEandAE Happy to connect :) have a great Monday. &gt;&gt; Get FREE? https://t.co/z3KHO8TBLD
805725599994150900,Mon Dec 05 10:48:47 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) (Want this 🆓? &gt;&gt; https://t.co/k12V7pYImL)
804638428658888700,Fri Dec 02 10:48:45 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) (Want this? It's FREE! https://t.co/lI5rTeSOCt)
804281313155018800,Thu Dec 01 11:09:42 +0000 2016,Thanks for the recent follow @B2LTax4North @kokiseok_ Happy to connect :) have a great Thursday. (Want this 🆓? &gt;&gt; https://t.co/k12V7pYImL)
803913649651929100,Wed Nov 30 10:48:44 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) 🔹🆓Grow followers ➪ https://t.co/oIE6AHdQhZ 🆓🔹
803194168910680000,Mon Nov 28 11:09:47 +0000 2016,Thanks for the recent follow @DeniseTaylor49 @Grant4Machiner1 Happy to connect :) have a great Monday. &gt;&gt; Get FREE? https://t.co/z3KHO8TBLD
