id,created_at,text
670527987520000000,Sat Nov 28 09:01:44 +0000 2015,RT @matillion: 3 ways Cloud BI accelerates your business https://t.co/V8Gt2ruDLf #BusinessIntelligence https://t.co/nZovdGktzp
670527587421200400,Sat Nov 28 09:00:09 +0000 2015,RT @MVDSFDC: Top Technology Changes That Will Reshape Consumer Behavior #SaaS #InternetOfThings  https://t.co/3k4chtTZgx
670490149462122500,Sat Nov 28 06:31:23 +0000 2015,RT @NetSuite: #NetSuite’s @mfg_gavin talks about the benefits of integrating #cloud-based #ERP and PLM solutions in new #blog: https://t.co…
670490148124127200,Sat Nov 28 06:31:23 +0000 2015,RT @madeinthemids: Great night so far at the @TheManufacturer Awards! #TMMXAwards @JasonPittUK @Tara_MIM #ukmfg https://t.co/FmPau3moJg
670478194181587000,Sat Nov 28 05:43:53 +0000 2015,RT @kesbutters: Big Data And Business Intelligence: https://t.co/qXNwdjHXSr  #BigData #BusinessIntelligence https://t.co/6N5aBXIU3N
670430081806901200,Sat Nov 28 02:32:42 +0000 2015,RT @METAMORF_US: #Analyticship:#BusinessIntelligence, #BigData, #Analytics-Have you met the Avant-Garde of Relational Databases?https://t.c…
670398578515406800,Sat Nov 28 00:27:31 +0000 2015,Thanks for the retweets this week @Nicholas_TM @YourTMEvents much appreciated! (insight by https://t.co/pHPvzSCHmU)
670382009051709400,Fri Nov 27 23:21:40 +0000 2015,RT @Alan_Finch: #BusinessIntelligence expert @jimcathcart with #logic on UpServing to Increase Satisfaction: https://t.co/oU2yFemPMd https:…
670378971096330200,Fri Nov 27 23:09:36 +0000 2015,Thanks for the recent follow @Language_News2 @JeremyJeanjean Happy to connect :) have a great Friday. (insight by https://t.co/pHPvzSCHmU)
670378491599286300,Fri Nov 27 23:07:42 +0000 2015,Hello everyone, have a great Friday! Looking forward to reading your tweets :) (insight by https://t.co/pHPvzSCHmU)
670353510358253600,Fri Nov 27 21:28:26 +0000 2015,RT @hourslogger: Need to spread app awareness... Check out @tapdaq! #saas #programming Tapdaq | Community Driven Mobile Advertising https:/…
670333277287391200,Fri Nov 27 20:08:02 +0000 2015,RT @JoyfulCraftsmen: BI cube was really busy today. And you? Let us help you &gt;&gt;https://t.co/XpHvlY9XQr&lt;&lt; #BusinessIntelligence #JC https://…
670306596656980000,Fri Nov 27 18:22:00 +0000 2015,RT @CivicaUSA: What We're Reading Today: SaaS Email Marketing Mistakes that Affect Free-Trial Conversion Rates https://t.co/Jfnp7iDFpz #amc…
670284880396292100,Fri Nov 27 16:55:43 +0000 2015,RT @FasciaGraphics: With the right support #reshoring to the UK is possible https://t.co/dedH55zQVS via @AmtekPlastics #ukmfg https://t.co/…
670283711125037000,Fri Nov 27 16:51:04 +0000 2015,RT @The_Impactory: "If you don't drive your business, you will be driven out of business" Forbes.  #BusinessIntelligence #Success https://t…
670259449127379000,Fri Nov 27 15:14:40 +0000 2015,RT @Brad_Swinehart: 87 Must-try #SaaS #GrowthHacking Strategies - Epic Post Coming Up! https://t.co/Ezm4s1yvcm
670234441676136400,Fri Nov 27 13:35:17 +0000 2015,RT @VCAtechnology: #Didyouknow 29.1% of the total IT budget is allocated to store systems @risnewsinsights https://t.co/BBrzPBA1m7 #busines…
670212347047358500,Fri Nov 27 12:07:30 +0000 2015,RT @theemaillaundry: How can enterprise #IT harness the momentum of microservices architecture? https://t.co/lV8WqES4PL #SaaS
670206454578741200,Fri Nov 27 11:44:05 +0000 2015,RT @SandersonIT: Bespoke software or standard #ERP system: what are the arguments for and against? #manufacturingUK https://t.co/eXLjSNbB1N
670206449126088700,Fri Nov 27 11:44:03 +0000 2015,RT @ukmfgreview2015: Big thanks to the @mta_uk for hosting our book launch next Wednesday! #ukmfg #collaboration
670189157554266100,Fri Nov 27 10:35:21 +0000 2015,Well done to all #TMMXAwards finalists and winners. Great night! Fantastic speech @levirootsmusic. https://t.co/d21Tb8PfNN
670184900352458800,Fri Nov 27 10:18:26 +0000 2015,RT @ExpertimeBI: Using #PowerBI for Education Analytics in schools &gt;&gt; https://t.co/x6d6p85dTQ #BusinessIntelligence
670165199635267600,Fri Nov 27 09:00:09 +0000 2015,RT @wowlife: Watch @JerryCuomo talk about #SOA back-end systems or #SaaS solutions wrt #StrongLoop Node.js : https://t.co/YLyItmw29B @IBMSy…
670135598389293000,Fri Nov 27 07:02:31 +0000 2015,RT @KonnectSocial: Who's the big daddy of #BusinessIntelligence? #BigData of course. Read - https://t.co/3iOxCR9qD3 #Analytics #marketing #…
670127781376860200,Fri Nov 27 06:31:28 +0000 2015,RT @charlybamf: Ask yourselves 1 question .  What would #ukmfg look like without these 2 banging the drum! True legends. #TMMXAwards https:…
670127779652980700,Fri Nov 27 06:31:27 +0000 2015,RT @FSNewsUK: Delivering access to strategic #ERP data wherever the user is located: @infor MFS Mobile for #Fieldservice app https://t.co/9…
670086625523859500,Fri Nov 27 03:47:55 +0000 2015,RT @IvervandeZand: Read my new blog on the power of #analytics in #retail https://t.co/Gs8lmpqdSn #BusinessIntelligence #BigData #innovatio…
670052006657171500,Fri Nov 27 01:30:22 +0000 2015,Hello everyone, have a great Friday! Looking forward to reading your tweets :) (insight by https://t.co/pHPvzSCHmU)
669991455222538200,Thu Nov 26 21:29:45 +0000 2015,RT @FMTC_co: 7 of the Best Growth Hacks for SaaS, Live Chat and E-Commerce https://t.co/Prk4fxavEy via @sherice @CrazyEgg #growthhack #SaaS
669990122478305300,Thu Nov 26 21:24:27 +0000 2015,RT @cltorvinen: The Beginner’s Guide to #Data Quality and #BusinessIntelligence | ANA Insights https://t.co/EUDvxqNN1T
669990019164217300,Thu Nov 26 21:24:03 +0000 2015,Fantastic night #TMMXAwards let the ceremony begin. Good luck to all nominees.
669944511079055400,Thu Nov 26 18:23:13 +0000 2015,RT @simonlporter: Cost savings due to #SaaS applications =&gt; https://t.co/ScIkk2A7VI https://t.co/w3Bj4icpYQ
669940775044710400,Thu Nov 26 18:08:22 +0000 2015,RT @jhamilius: The Roles of #BusinessIntelligence - The one that fits you? https://t.co/DyEJAt5Qfe
669922407671586800,Thu Nov 26 16:55:23 +0000 2015,RT @FSNewsUK: Delivering access to strategic #ERP data wherever the user is located: @infor MFS Mobile for #Fieldservice app https://t.co/P…
669922376843444200,Thu Nov 26 16:55:15 +0000 2015,RT @andrew_essom: #ukmfg metal pressings https://t.co/tTZVYYMtSr
669897382591623200,Thu Nov 26 15:15:56 +0000 2015,RT @Mudassargee: Discover the 5 design principles on ScaleXtreme to equal a better customer experience w/ #SaaS solutions https://t.co/4Pc3…
669891251404202000,Thu Nov 26 14:51:34 +0000 2015,RT @Ruth__Diaz: 3 Enterprise #BusinessIntelligence Trends That Can Benefit Your Business by @IcreonTech https://t.co/BmMe5fIoyX vía @Entrep…
669850306138779600,Thu Nov 26 12:08:52 +0000 2015,RT @zoltarSpeaks: 7 Company Founder's #GrowthHacking Tips | https://t.co/ICuaRKdhpn | #entrepreneur #startup #Saas #GrowthHacker #SEO
669844033355841500,Thu Nov 26 11:43:57 +0000 2015,RT @Jonny_Will_28: Pity those STEM graduates went into financial services, rather than #ukmfg itself, but a v. thought-provoking speech @Da…
669844007753773000,Thu Nov 26 11:43:51 +0000 2015,RT @JeremyJeanjean: Deploying project mngt, service mngt and mobility: easy with IFS Applications 9! #service #ERP @IFSFrance @IFSworld htt…
669841864036622300,Thu Nov 26 11:35:20 +0000 2015,RT @gunnarlotz: #Bigdata is simply another name for complicated #businessintelligence https://t.co/7Q6ky2oTCN
669792467236094000,Thu Nov 26 08:19:02 +0000 2015,RT @PFA_Tessa: We never learn, u had a student account with Bank A,they gave u issues, u thot u'd find joy as an #Enterprise owner? #Busine…
669765389673472000,Thu Nov 26 06:31:27 +0000 2015,RT @TimeTraxHR: RUN your Business like you mean IT! with @BizzTrax #ERP &amp; #CRM Software - https://t.co/mUosPSu99E https://t.co/v3jmt52ygu
669742474131333100,Thu Nov 26 05:00:23 +0000 2015,RT @occammd: Hello @dotmedis we appreciate the follow. If we can help you with anything around #businessintelligence or #bigdata please let…
669706100732727300,Thu Nov 26 02:35:51 +0000 2015,@SmartEnergy2015 thanks for sharing SmartEnergy, have a great Thursday :) (insight by https://t.co/pHPvzSCHmU)
669697195550097400,Thu Nov 26 02:00:28 +0000 2015,Thanks @DMCSoftware @AmtekTooling for being top engaged community members this week :) (insight by https://t.co/pHPvzSCHmU)
669694377359491100,Thu Nov 26 01:49:16 +0000 2015,RT @SmartDataCo: 4 Ingenious Use Cases for #BusinessIntelligence Tools: https://t.co/uLpTbyncOo
669690350970249200,Thu Nov 26 01:33:16 +0000 2015,Thanks for the recent follow @clesucr @wynejahipiha @sweet11326098 Happy to connect :) have a great Thursday. (via https://t.co/pHPvzSCHmU)
669646276250705900,Wed Nov 25 22:38:08 +0000 2015,RT @ConstantCrawler: Business Intelligence &amp; Implementation Analyst: https://t.co/OS05vzmftO #bi #businessintelligence Business/Systems Ana…
669629769928024000,Wed Nov 25 21:32:32 +0000 2015,RT @ERPeople: The #ERP selection bottom line. https://t.co/IQXT7xk9H4 #cloud #saas #tech
669597343365230600,Wed Nov 25 19:23:41 +0000 2015,RT @SWC_Jill: Power BI is the Next Generation of Self-Service Analytics #businessintelligence https://t.co/W2DfzK8Ici https://t.co/FeaPhHrm…
669560764949229600,Wed Nov 25 16:58:20 +0000 2015,RT @ERPfocus: The importance of a cloud #ERP recovery plan https://t.co/j7GfKPy5Fi #cloud #SaaS
669534940590161900,Wed Nov 25 15:15:43 +0000 2015,RT @SaaSCommunity: Intro to User Onboarding: https://t.co/nYMlIpAzt7 by @Appcues (via @trevorhatfield) #SaaS
669497250045943800,Wed Nov 25 12:45:57 +0000 2015,RT @simonlporter: How MSPs can leverage the #cloud to help clients with #businessintelligence... https://t.co/jmTNGiTcdz https://t.co/0vQIn…
669487579851526100,Wed Nov 25 12:07:32 +0000 2015,RT @coscale: Ready to start a career in B2B tech sales? CoScale is looking for a Business Development Rep https://t.co/r5aPSJR38K #betech #…
669481662477172700,Wed Nov 25 11:44:01 +0000 2015,RT @Tim_R_Brown: AMR2016: UK manufacturers broadly optimistic for the future: The steel industry has shrunk by around 9% this y... https://…
669481660916867100,Wed Nov 25 11:44:00 +0000 2015,RT @Boddingtonsp: We have successfully implemented our #ERP System (Epicor) onsite at Boddingtons  https://t.co/zIcymKzGS3 #mfg https://t.c…
669451509868965900,Wed Nov 25 09:44:12 +0000 2015,#AMR2016 - the future of manufacturing. Download the full report https://t.co/Bh6xQWYU4I https://t.co/SilNiF6RYR
669447806206218200,Wed Nov 25 09:29:29 +0000 2015,RT @matillion: The 10 best BI blogs you may have missed this month https://t.co/b1E0j0a4jA #BusinessIntelligence https://t.co/61WTf7qaAr
669440428509405200,Wed Nov 25 09:00:10 +0000 2015,RT @GrowthHackers: The Impact Of The Stock Market On #SaaS Valuations In 2015 https://t.co/m81tvnoFHb https://t.co/vt5Ylz5iCD
669403048280764400,Wed Nov 25 06:31:38 +0000 2015,RT @NeidaProducts: Another busy evening @TheJCBAcademy apprenticeship evening promoting #apprenticeships #ukmfg @Staffordshirehr
669402973714448400,Wed Nov 25 06:31:20 +0000 2015,RT @COINS_AUS: The case for multicurrency in #ERP systems &amp; #reporting @COINSGlobal https://t.co/yKa0qaEueX https://t.co/mRLYIh3mwl https:/…
669370823631835100,Wed Nov 25 04:23:35 +0000 2015,Thanks for the recent follow @BentleySussex @efecan5914 Happy to connect :) have a great Wednesday. (insight by https://t.co/pHPvzSCHmU)
669357892408115200,Wed Nov 25 03:32:12 +0000 2015,Thanks @BoltonManufGrp @Rodmatic_Ltd for being top engaged community members this week :) (insight by https://t.co/pHPvzSCHmU)
669349845149290500,Wed Nov 25 03:00:13 +0000 2015,RT @EricDosal: Free Webinar 12/10: Let @BrightGauge answer all of your #BusinessIntelligence questions: https://t.co/7T75H1nR9b
669301699677429800,Tue Nov 24 23:48:54 +0000 2015,RT @METAMORF_US: #Analyticship:#BusinessIntelligence, #BigData-DrivenStealthINTERCEPT new release doubles down on attack #Analytics -:https…
669266670687559700,Tue Nov 24 21:29:43 +0000 2015,RT @TWistartups: .@jasonlk on why collaboration was key for #SaaS - watch the full episode here: https://t.co/WVNtwp7r5z https://t.co/Yq8As…
669253144568848400,Tue Nov 24 20:35:58 +0000 2015,RT @cBEYONData: Demo for #BusinessObjects #BusinessIntelligence #Software Administrators with @GBandSmith and @Carahsoft https://t.co/ZMsGr…
669219793522860000,Tue Nov 24 18:23:26 +0000 2015,RT @efader: 87 Must-try #SaaS #GrowthHacking Strategies - Epic Post Coming Up! https://t.co/qMrw79JXt9
669203859290652700,Tue Nov 24 17:20:07 +0000 2015,RT @adamteece: The Roles of #BusinessIntelligence - The one that fits you? https://t.co/CLdDLzBF9c
669197734457552900,Tue Nov 24 16:55:47 +0000 2015,RT @BatchMasterERP: Manufacturers, Love Food &amp; Hate Waste.  Join our webinar on 12/3.#ERP https://t.co/Il0oulfsFs https://t.co/yF7NH2hg8T
669197699930046500,Tue Nov 24 16:55:39 +0000 2015,RT @WM_Mag: JLR pumps £450m into Wolverhampton engine plant https://t.co/6nMOTJ989C @JLRPR #ukmfg #manufacturing
669172538593910800,Tue Nov 24 15:15:40 +0000 2015,RT @ISG_News: Don't Let Your HR Software-as-a-Service Distract You from Running the Business #hr #saas https://t.co/wT67LAsoPB https://t.co…
669154168117022700,Tue Nov 24 14:02:40 +0000 2015,RT @iTheSeo: In 2016, the Customer Experience Will Separate the Winners from the Losers https://t.co/cMtY96JyyJ #marketing #BusinessIntelli…
669125478557593600,Tue Nov 24 12:08:40 +0000 2015,RT @CirrusAssess: Looking for back and front end developers to join our team. Could it be you? https://t.co/cH9mN6CNOy #saas #utrecht https…
669119336582357000,Tue Nov 24 11:44:16 +0000 2015,RT @360WiseHouston: #360WiseNews : OracleVoice: How Boingo Adapts To Constant Change https://t.co/tcPGRJy1sC
669119310162456600,Tue Nov 24 11:44:09 +0000 2015,RT @CastrolB2B: RT @Davtrend_Power: BAE invests £20.6m in UK space engine developer https://t.co/JBe86jF7i8  #Aerospace #UKmfg https://t.co…
669104829818650600,Tue Nov 24 10:46:37 +0000 2015,RT @BOARDSoftware: Better Decisions using #BusinessIntelligence |  30minutes #Webinar | 3 December 1:30pm GMT | Register now https://t.co/c…
669055284782977000,Tue Nov 24 07:29:44 +0000 2015,RT @RiccardoBua: Keeping up with the #quants #analytics #bigdata #businessintelligence #leadership #management #intuition https://t.co/QLni…
669040574494851100,Tue Nov 24 06:31:17 +0000 2015,RT @ERPeople: Is your #ERP too costly? Use these tips to decrease costs. Find out more: https://t.co/ouuKfmpdeb
669040570510241800,Tue Nov 24 06:31:16 +0000 2015,RT @Jonny_Will_28: "Are #sales guys really useless?" A provocative take on a #ukmfg issue by MD of Green Shoots Growth, Bill Stringer - htt…
669005511522676700,Tue Nov 24 04:11:58 +0000 2015,RT @ConstantCrawler: Business Intelligence / Big data Developer: https://t.co/baRkKSCkVM #bi #businessintelligence Business Intelligence / …
668957426780143600,Tue Nov 24 01:00:53 +0000 2015,RT @gooddata: Here are the 4 steps to #businessintelligence value--from @Mavenlink's #CEO.  https://t.co/vOaFqVHePy https://t.co/H9VPyc7MCl
668953127526268900,Tue Nov 24 00:43:48 +0000 2015,Thanks for the recent follow @ApparelBusiness @robinsharmasays Happy to connect :) have a great Tuesday. (via https://t.co/pHPvzSCHmU)
668909284546187300,Mon Nov 23 21:49:35 +0000 2015,RT @EvanSinar: The Top 9 Business Intelligence Blogs You Should Be Reading | Maptive https://t.co/1ZqctylFm2 #analytics #bi https://t.co/ye…
668904759559065600,Mon Nov 23 21:31:36 +0000 2015,RT @wcrmblog: I used this quiz to improve CRM migration in my company https://t.co/ecNPFul0d8 (and why you should, too) #crm #saas
668835116920283100,Mon Nov 23 16:54:52 +0000 2015,RT @TheManufacturer: £20m invested in two new manufacturing research hubs: The hubs will be based at the University of Southampton ... http…
668810207464726500,Mon Nov 23 15:15:54 +0000 2015,RT @matillion: Why you should invest in compelling data visualisation https://t.co/sCVYljq8Y6 #DataViz #BusinessIntelligence https://t.co/M…
668809795529547800,Mon Nov 23 15:14:15 +0000 2015,RT @keenan: Interview With A Social Salesperson @Forbes https://t.co/gvbGbJySRE
668760832596144100,Mon Nov 23 11:59:42 +0000 2015,RT @NaughtonElaine: Inaugural Health Business Intelligence summit - a milestone in system reform @HSElive @eHealthIreland @R1chardatron  ht…
668756824921931800,Mon Nov 23 11:43:46 +0000 2015,RT @EEF_Insights: Only 1 week left to get your early bird discount to #ukmfg's top event, #EEF2016 on Feb 24 in London https://t.co/GeMxynU…
668756721318367200,Mon Nov 23 11:43:21 +0000 2015,RT @heatraesadia: #Installers! Have you seen our #ErP calculator tool? Find out how we can make rating calculation easier: https://t.co/Iha…
668715647333978100,Mon Nov 23 09:00:09 +0000 2015,RT @marklazar1: Learn from experts on how to #GrowthHack a #SaaS #startup 17th of Dec w/ @mailjet @Workable @stickermule @ArtesianS https:/…
668711354807820300,Mon Nov 23 08:43:05 +0000 2015,RT @itnovum: Business Intelligence im Marketing: https://t.co/MHhrY7Dj9p via @sr_mueller #MarketingAnalytics
668678134426902500,Mon Nov 23 06:31:05 +0000 2015,RT @colinmasson: How Dynamics AX delivers cloud ERP on Microsoft Azure https://t.co/Osi0hz3AMd via @Diginomica | #MSDynAX #Azure #ERP https…
668678080001679400,Mon Nov 23 06:30:52 +0000 2015,RT @ABB_drives_UK: Did you know 'soft foot' is one of the main causes of misalignment? https://t.co/d47pzVqu5q #ukmfg
668661876637741000,Mon Nov 23 05:26:29 +0000 2015,RT @Datafloq: 3 Ingenious Use Cases for Business Intelligence Tools - by @sisense https://t.co/NfcKVsyF2H #BigData #BI
668613784001491000,Mon Nov 23 02:15:23 +0000 2015,RT @PiggyBackHwy: Big Data is Simply Another Name for Complicated Business Intelligence  https://t.co/IrvO5deZdI
668565661124313100,Sun Nov 22 23:04:09 +0000 2015,RT @Ronald_vanLoon: Data Preparation Is Essential for Predictive Analytics | #BigData #BusinessIntelligence #RT https://t.co/rIOHpBnvm1 htt…
668516833327259600,Sun Nov 22 19:50:08 +0000 2015,RT @JoanIratxeta: Microsoft's Graph wants t turn user data into BI it can sell https://t.co/Hp4DTkyVGl RT @jose_garde
668507575877541900,Sun Nov 22 19:13:21 +0000 2015,@AmaxNutraSource thanks for sharing Amax NutraSource Inc, have a great Sunday :) (insight by https://t.co/pHPvzSCHmU)
668494901961691100,Sun Nov 22 18:22:59 +0000 2015,RT @WillDotSteward: Who Really Wields Social Authority in The C-Suite https://t.co/dOQuMbbxfC #saas
668472678613930000,Sun Nov 22 16:54:40 +0000 2015,RT @SapphireSystems: Hi Koen Vanderhoydonk - thanks for following us! Find out more about us https://t.co/Vx1e04rVPD #ERP #finance
668472667964600300,Sun Nov 22 16:54:38 +0000 2015,RT @Rodmatic_Ltd: RT @birminghampost: Revealed: Aston Martin wants plant in Birmingham https://t.co/R3QIloaDxH… #ukmfg https://t.co/or9EzrZ…
668472500758646800,Sun Nov 22 16:53:58 +0000 2015,Thanks for the recent follow @mrkwd @ReadUpshot @Grant4Manu Happy to connect :) have a great Sunday. (insight by https://t.co/pHPvzSCHmU)
668467371506552800,Sun Nov 22 16:33:35 +0000 2015,RT @MSPowerBI: The latest release of #PowerBI gave us a great opportunity to determine the top 5 trends in #BI. See what they are: https://…
668447761604476900,Sun Nov 22 15:15:40 +0000 2015,RT @DecisionInvPD: Looking at decision support software? Here are criteria for choosing! https://t.co/i8fkZ8SQgD https://t.co/nuLpYVVDy9 #s…
668418015806009300,Sun Nov 22 13:17:28 +0000 2015,RT @BMIResearch: VW: Wider Implications of Emissions Scandal http://t.co/TwfuXhj88n http://t.co/bxjuKjBsit
668400723659505700,Sun Nov 22 12:08:45 +0000 2015,RT @mfagadar: Adapt your #SaaS pricing based on your customer's MRR #startup  https://t.co/8WJrzaOMYw
668394325290668000,Sun Nov 22 11:43:19 +0000 2015,RT @Nicholas_TM: Question for #UKMFG. Do you feel #sustainability and the #circulareconomy is important to the future of the sector?
668394324019802100,Sun Nov 22 11:43:19 +0000 2015,RT @p2people: 11 new @p2pBizFinance jobs w/ #Finance #ERP skills https://t.co/UBAni5DPrw https://t.co/vcJFAFtkNJ
668319127673692200,Sun Nov 22 06:44:31 +0000 2015,RT @DataScienceCtrl: The Top 10 Business Intelligence Trends for 2016 https://t.co/HVS0JHQMDJ
668315800802041900,Sun Nov 22 06:31:18 +0000 2015,RT @TweetERP: 5 Challenges of ERP Implementation - Business 2 Community https://t.co/tKf3T37cxn #erp
668315726063779800,Sun Nov 22 06:31:00 +0000 2015,RT @cothromsystems: New material supports high volume production 3D printing https://t.co/oVz8udGQ2X @TheManufacturer #3dprinting #UKmfg ht…
668270214509932500,Sun Nov 22 03:30:09 +0000 2015,RT @Datafloq: 3 Ingenious Use Cases for Business Intelligence Tools - by @sisense https://t.co/NfcKVsyF2H #BigData #BI
668222081784545300,Sun Nov 22 00:18:53 +0000 2015,RT @MyNewTechHome: The Top 9 Business Intelligence Blogs You Should Be Reading https://t.co/ZrCjiOAa1W #bigdata #dataviz
668179282573852700,Sat Nov 21 21:28:49 +0000 2015,RT @HaleChris: The Truth About Moving #BigData to the Cloud. @JonathanBuckley https://t.co/oBvJ5OtZQZ #SaaS
668179199740485600,Sat Nov 21 21:28:30 +0000 2015,@NebraskaMFG thanks for sharing NebraskaMFG, have a great Saturday :) (insight by https://t.co/pHPvzSCHmU)
668173794503172100,Sat Nov 21 21:07:01 +0000 2015,RT @kesbutters: Big Data And Business Intelligence: https://t.co/t4kaiXQRlw  #BigData #BusinessIntelligence https://t.co/gnG0E6NXv0
668124417759780900,Sat Nov 21 17:50:49 +0000 2015,RT @kyree_44: Business intelligence   Information for opportunity  Genomic Data Base  Application Development  Target information  Analytic…
668110331311472600,Sat Nov 21 16:54:50 +0000 2015,RT @TheManufacturer: We would like to thank our #TMALC sponsors .@ansys_inc .@IOSH_tweets @santanderukbiz  https://t.co/21cfuPyCnr #ukmfg h…
668110260557750300,Sat Nov 21 16:54:33 +0000 2015,RT @ApparelBusiness: If you're picking a new #fashion #ERP, you have to run this one easy test. https://t.co/dXGjKJnS4n
668084902206840800,Sat Nov 21 15:13:47 +0000 2015,RT @GrowthHackers: What value should your #SaaS #startup expect from a VC? https://t.co/zSCMCevFeK https://t.co/sdqAmV3VDl
668074719174910000,Sat Nov 21 14:33:19 +0000 2015,RT @CrowdReference: The Top 9 Business Intelligence Blogs You Should Be Reading https://t.co/QudzAF2rTx #bigdata #datascience
668065088444612600,Sat Nov 21 13:55:03 +0000 2015,Explore a host of different tools and software to help you implement business intelligence @ConnectBI https://t.co/yDNCeNCXSQ
668037907240853500,Sat Nov 21 12:07:03 +0000 2015,RT @smallbiztrends: Andy MacMillan of Act-On: Marketing Automation Adoption is at its Tipping Point https://t.co/kxw0GDDCjv  By @BrentLeary
668031989111529500,Sat Nov 21 11:43:32 +0000 2015,RT @Jonny_Will_28: .@BCFcoatingsto launches PaintCare report, w/ recommendations to create #circulareconomy @TheManufacturer - https://t.co…
668031920236793900,Sat Nov 21 11:43:15 +0000 2015,RT @colinmasson: How Dynamics AX delivers cloud ERP on Microsoft Azure https://t.co/Osi0hz3AMd via @Diginomica | #MSDynAX #Azure #ERP https…
668025350862069800,Sat Nov 21 11:17:09 +0000 2015,RT @OlivierBachelet: Zendesk acquires Business Intelligence Startup BIME Analytics For $45 Million https://t.co/ZqwtMVVSQi via @techcrunch …
667990869438505000,Sat Nov 21 09:00:08 +0000 2015,RT @TheNutellaMan: #bigdata #SaaS 33 unusual problems that can be solved with data science https://t.co/u2axmCDhMZ
667953422994382800,Sat Nov 21 06:31:20 +0000 2015,RT @madeinthemids: We are delighted to post pictures of the first East Mids Council meeting. Many more to come in the future #ukmfg https:/…
667953421706752000,Sat Nov 21 06:31:20 +0000 2015,RT @IndustryWeek: Ten Warning Signs your #ERP System is Killing your Business https://t.co/1E6maKSRqg https://t.co/6IFT880Wpy
667926865554878500,Sat Nov 21 04:45:48 +0000 2015,RT @MattAtMIT: Crain's launches digital biz sites for 9 cities, inc Boston, Philly, Atlanta https://t.co/aZIgwBozWu #journalism #businessin…
667878763238137900,Sat Nov 21 01:34:40 +0000 2015,RT @lennonpatton: Candid shot of me at a recent networking event #businessintelligence #HyperThumbs https://t.co/LtRiSWcnBo
667830616373657600,Fri Nov 20 22:23:21 +0000 2015,RT @gooddata: Here are the 4 steps to #businessintelligence value--according to @Mavenlinkchief.  https://t.co/sAE5GgWMPq https://t.co/S32t…
667816303680360400,Fri Nov 20 21:26:28 +0000 2015,RT @Oracle: #Oracle's @larryellison: “We’re going to win by being #1 in applications &amp; in platform.” https://t.co/OxqhFw3wFv #OraclePaas #S…
667799594986770400,Fri Nov 20 20:20:05 +0000 2015,Thanks for the recent follow @Cube_Composites @BBREngineering Happy to connect :) have a great Friday. (insight by https://t.co/pHPvzSCHmU)
667780090219110400,Fri Nov 20 19:02:34 +0000 2015,@sprintforward thanks for sharing Sprint Forward, have a great Friday :) (insight by https://t.co/pHPvzSCHmU)
667775744651731000,Fri Nov 20 18:45:18 +0000 2015,Thanks for the retweets this week @gayle_davie @SpencerHalsey much appreciated! (insight by https://t.co/pHPvzSCHmU)
667769448787550200,Fri Nov 20 18:20:17 +0000 2015,RT @TractionConf_io: How One #SaaS Founder Went From Bagging Groceries To Building A MultiMillion $  #Business https://t.co/itERsC6E48 http…
667753866759422000,Fri Nov 20 17:18:22 +0000 2015,Hello everyone, have a great Friday! Looking forward to reading your tweets :) (insight by https://t.co/pHPvzSCHmU)
667747642974339100,Fri Nov 20 16:53:38 +0000 2015,RT @ABB_drives_UK: Is your motor failure due to insufficient lubrication? See our motors e-book for top tips   https://t.co/d47pzVqu5q #ukm…
667732658672173000,Fri Nov 20 15:54:06 +0000 2015,Stay up to date on the benefits of using business intelligence @Connect_BI https://t.co/yDNCeNCXSQ https://t.co/5bKX2srjCV
667732269294047200,Fri Nov 20 15:52:33 +0000 2015,RT @rwang0: Data2Decisions (#BigData Analytics) is out! https://t.co/Rr4HE15Vdy Stories via @tice_10 @clesucr @Alekzzzzz
667722418140684300,Fri Nov 20 15:13:24 +0000 2015,RT @DaveDeMichele: #SaaS / #PaaS Daily is out! https://t.co/8AHos6Zsbc
667682927518597100,Fri Nov 20 12:36:29 +0000 2015,RT @gsconsulting: Want to achieve more targeted and effective marketing https://t.co/21QBXi9iGO  #marketing #businessintelligence https://t…
667669418579763200,Fri Nov 20 11:42:48 +0000 2015,RT @TweetERP: Broxap Upgrades Business Processes with Epicor ERP - Bdaily https://t.co/zTlf0Tf7Ue #erp
667669417942261800,Fri Nov 20 11:42:48 +0000 2015,RT @MachineryMktmag: @metalexexpo David Wiggins still failing on the dress code. Karen's patience is wearing thin! #metalexexpo #ukmfg http…
667660686672007200,Fri Nov 20 11:08:06 +0000 2015,Pushing back the boundaries of value adding robotics and connected factories #AutomateUK https://t.co/EiKsTiwp8A
667633597638135800,Fri Nov 20 09:20:28 +0000 2015,RT @DemonTech_Net: "The Impact Data Has on Making Informed Marketing Decisions"  https://t.co/KmRmmXgYN3
667590931533680600,Fri Nov 20 06:30:55 +0000 2015,RT @neillloyd1974: Congratulations Futura Group @BCCCmembers #BCCCAwards #ukmfg
667583990187098100,Fri Nov 20 06:03:21 +0000 2015,RT @JohndeVoogd: Microsoft's Graph wants to turn user data into business intelligence it can sell | CIO#tk.rss_all https://t.co/qdIOng09bB …
667509338727141400,Fri Nov 20 01:06:42 +0000 2015,Thanks for the recent follow @NinaKings @erika_floe Happy to connect :) have a great Friday. (insight by https://t.co/pHPvzSCHmU)
