id,created_at,text
1260041757942833200,Tue May 12 02:59:00 +0000 2020,Many Happy Returns of the day to @tnprathapan (Member, CCI) on his #birthday today. #HappyBirthday https://t.co/3nJnD7QLJm
1260041506355896300,Tue May 12 02:58:00 +0000 2020,Many Happy Returns of the day to Honble Governor Punjab @vpsbadnore (Member, CCI) on his #birthday today.… https://t.co/ZrnNraVVdh
1260041003043623000,Tue May 12 02:56:00 +0000 2020,Many Happy Returns of the day to @Dileep_Sanghani (Member, CCI) on his #birthday today. #HappyBirthday https://t.co/4PjoXsO46A
1259745071517143000,Mon May 11 07:20:04 +0000 2020,#CoronaCareByCCI  Joy of feeding! #dogs #dogsduringlockdown @peta @pfaindia @gauri_maulekhi @dogsneedhelp… https://t.co/8xCOGTWisp
1259085892758548500,Sat May 09 11:40:44 +0000 2020,#CoronaCareByCCI #Monkeys at @ccoi_1947 https://t.co/0NLjPdJyAI
1258956104660168700,Sat May 09 03:05:00 +0000 2020,Many Happy Returns of the day to @DilipGandhiMP (Member, CCI) on his #birthday today. #HappyBirthday https://t.co/hqJUNtc1XL
1258720673570013200,Fri May 08 11:29:29 +0000 2020,RT @ravi_cci: You cannot give a life , but you can save a life! Today team of @ccoi_1947 donated blood at @IndianRedCross on occasion of #W…
1258607159530537000,Fri May 08 03:58:25 +0000 2020,#Article21 @Zomato #HomeDelivery #food https://t.co/5zLvQF1OgY
1258593465048264700,Fri May 08 03:04:00 +0000 2020,Many Happy Returns of the day to @praveen_aron (Member, CCI) on his #birthday today. #HappyBirthday https://t.co/8zL5PCm9bZ
1258592961928917000,Fri May 08 03:02:00 +0000 2020,Many Happy Returns of the day to @PonnamLoksabha (Member, CCI) on his #birthday today. #HappyBirthday https://t.co/tf36L0oCKs
1258591451539112000,Fri May 08 02:56:00 +0000 2020,Many Happy Returns of the day to @MPShivajirao (Member, CCI) on his #birthday today. #HappyBirthday https://t.co/W60eDoJzAh
1258591200170307600,Fri May 08 02:55:00 +0000 2020,Many Happy Returns of the day to @a_abdullakutty (Member, CCI) on his #birthday today. #HappyBirthday https://t.co/cpfTBsgrLc
1258392150653448200,Thu May 07 13:44:03 +0000 2020,https://t.co/bPkRktESdZ
1258196348249108500,Thu May 07 00:46:00 +0000 2020,Many Happy Returns of the day to @kpmaurya1 (Member, CCI) on his #birthday today. #HappyBirthday https://t.co/5lkLRIKIDJ
1258010257344745500,Wed May 06 12:26:32 +0000 2020,RT @iPriyankaBhatt: So proud of you ❤❤❤ https://t.co/8IPpfTPRbR
1258000672584167400,Wed May 06 11:48:27 +0000 2020,#CoronaCareByCCI #dogs #dogsduringlockdown @peta @pfaindia @gauri_maulekhi @dogsneedhelp  @kanikadewanpfa… https://t.co/lyPhp61nxl
1257639979037028400,Tue May 05 11:55:11 +0000 2020,Little cuties enjoying evening with mom at @ccoi_1947  #ducks #ducklings  @peta @pfaindia 🦢🦆🦆🦆@gauri_maulekhi https://t.co/x2xHguUH8G
1257511581304283100,Tue May 05 03:24:59 +0000 2020,RT @AnubhavMohanty_: @ccoi_1947 is doing excellent job in this time.Delighted to see such a well-coordinated effort in helping people &amp; fee…
1257467294013198300,Tue May 05 00:29:00 +0000 2020,Many Happy Returns of the day to @RamaDeviBJP (Member, CCI) on her #birthday today. #HappyBirthday https://t.co/7laABgDjnu
1257284585982791700,Mon May 04 12:22:59 +0000 2020,#CoronaCareByCCI  @ccoi_1947 team feeding street #dogs  @peta @pfaindia @gauri_maulekhi #dogsduringlockdown… https://t.co/OYudfuBvJk
1257277755722367000,Mon May 04 11:55:50 +0000 2020,Many Happy Returns of the day to @Yadunath52 (Member, CCI) on his #birthday today. #HappyBirthday https://t.co/koPHy4b5DH
1257277397646233600,Mon May 04 11:54:25 +0000 2020,Many Happy Returns of the day to @RaoKonakalla (Member, CCI) on his #birthday today. #HappyBirthday https://t.co/97rthLPeT5
1257276588439175200,Mon May 04 11:51:12 +0000 2020,Many Happy Returns of the day to @Natubhai_MP (Member, CCI) on his #birthday today. #HappyBirthday https://t.co/9zXUSpCebD
1257186079309848600,Mon May 04 05:51:33 +0000 2020,#CoronaCareByCCI  @ccoi_1947 team to feed the #cows on streets of #Delhi @PMOIndia @peta @pfaindia @gauri_maulekhi… https://t.co/ZqKhwP9XkD
1257151152052813800,Mon May 04 03:32:46 +0000 2020,RT @ravi_cci: Proud to be associated with @ccoi_1947. What an amazing thought - cleaning of banana leftovers from the road after feeding th…
1257027204984139800,Sun May 03 19:20:14 +0000 2020,#CoronaCareByCCI 3rd May 2020  On request of @nishikant_dubey dinner packets distributed at #Sagarpur.… https://t.co/fD5L3Yx0Qk
1257026691009937400,Sun May 03 19:18:12 +0000 2020,#CoronaCareByCCI 3rd May 2020  Dinner packets distributed at #VPHouse  #LetsFeedThePoor #IndiaFightsCorona… https://t.co/DdhUsoMYcC
1256965784951128000,Sun May 03 15:16:11 +0000 2020,#CoronaCareByCCI 3rd May, 2020  On request of @nishikant_dubey dinner packets distributed at #Burari… https://t.co/4PrTZuMVEB
1256965307039510500,Sun May 03 15:14:17 +0000 2020,#CoronaCareByCCI 3rd May 2020  On requst of @nishikant_dubey dinner packets hand over to volunteers at #Narela… https://t.co/sNUMW8evlc
1256964651520151600,Sun May 03 15:11:40 +0000 2020,#CoronaCareByCCI 3rd May, 2020 On request of @RebellionNeeraj #DUSIB food packets handed over at #Mandawali.… https://t.co/35IRWdl0eU
1256963960529510400,Sun May 03 15:08:56 +0000 2020,#CoronaCareByCCI 3rd May, 2020 On request of #DUSIB food handed over to volunteers at #PashchimVihar… https://t.co/argEgAGHv4
1256963495037333500,Sun May 03 15:07:05 +0000 2020,#CoronaCareByCCI 3rd May, 2020 Dinner packets handed over to volunteers at #Inderlok on request of #AnnieRaja… https://t.co/OwBtpskxiZ
1256963010884587500,Sun May 03 15:05:09 +0000 2020,#CoronaCareByCCI 3rd May 2020  Dinner packets distributed at #AaramBagh on request of @M_Lekhi #LetsFeedThePoor… https://t.co/graSATfbrn
1256962353444208600,Sun May 03 15:02:32 +0000 2020,#CoronaCareByCCI Team of @ccoi_1947 to feed the #monkeys on streets of #Delhi @PMOIndia @peta @pfaindia… https://t.co/ket4bYxkQx
1256889527437652000,Sun May 03 10:13:09 +0000 2020,#CoronaCareByCCI Team of @ccoi_1947 @DelhiCD @DelhiCivil to feed the #cows on streets of #Delhi @PMOIndia @peta… https://t.co/yh2W2q98Rs
1256877015925321700,Sun May 03 09:23:26 +0000 2020,Salute to the #CoronaWarriors 👮‍♂️🚑🚓🩺 @dtptraffic 👮‍♂️ on duty in #Covid_19india  @CPDelhi @DelhiPolice… https://t.co/Odtkmfw8Wb
1256873149724913700,Sun May 03 09:08:05 +0000 2020,#CoronaCareByCCI 3rd May, 2020 On request of @RebellionNeeraj #DUSIB food packets handed over at #Mandawali.… https://t.co/u2tH7oB6HO
1256872710799417300,Sun May 03 09:06:20 +0000 2020,#CoronaCareByCCI 3rd May , 2020 Lunch packets handed over to volunteers at #Madipur on request of @nishikant_dubey… https://t.co/YqigFWjMHv
1256872483174531000,Sun May 03 09:05:26 +0000 2020,#CoronaCareByCCI 3rd May, 2020 On request of #DUSIB food handed over to volunteers at #PashchimVihar… https://t.co/KwGi1D3dPR
1256872109327827000,Sun May 03 09:03:57 +0000 2020,#CoronaCareByCCI @ccoi_1947 team distributing food packets at #LodhiRoad to needy persons. #LetsFeedThePoor… https://t.co/VE2cvOTn5F
1256871128489881600,Sun May 03 09:00:03 +0000 2020,RT @JournoAshutosh: Thnku @ccoi_1947 for providing food packets. It reached where it was needed under the AIIMS flyover. https://t.co/aqImd…
1256836342375276500,Sun May 03 06:41:49 +0000 2020,#CoronaCareByCCI 3rd May 2020 Lunch packets distributed at #KarolBagh on request of #DRaja #LetsFeedThePoor… https://t.co/HXW44ZfrRu
