id,created_at,text
1259612944620544000,Sun May 10 22:35:03 +0000 2020,White House advisor Kudlow says US should wait before passing new coronavirus aid bill | Just The News https://t.co/VEnq2dZ7n8
1259607615706931200,Sun May 10 22:13:52 +0000 2020,British PM Boris Johnson announces multi-stage process for reopening his nation | Just The News https://t.co/iTgdX3BNUk
1259552473955655700,Sun May 10 18:34:45 +0000 2020,What did Obama know and when did he know it? Obama claims ‘rule of law is at risk’ in Flynn ruling. | Just The News https://t.co/JKBLmlNJed
1259552239401816000,Sun May 10 18:33:49 +0000 2020,Report: Obama claims ‘rule of law is at risk’ in Flynn ruling | Just The News https://t.co/JKBLmlNJed
1259533620789772300,Sun May 10 17:19:50 +0000 2020,Tesla sues to reopen plant, Musk threatens to move out of California over virus rules | Just The News https://t.co/uDoLmh2tTH
1259530352193867800,Sun May 10 17:06:51 +0000 2020,FDA approves first COVID-19 antigen test https://t.co/LifbtzDWHp
1259499703772815400,Sun May 10 15:05:04 +0000 2020,Wasteful Spending: TSA spent $77 million on bomb-sniffing dogs who can’t detect explosives | Just The News https://t.co/1up0VnMStH
1259485860044701700,Sun May 10 14:10:03 +0000 2020,Virginia governor: ‘No specific number’ which might restart state’s coronavirus lockdown | Just The News https://t.co/ko4usfXR8f
1259477524213571600,Sun May 10 13:36:56 +0000 2020,In her new podcast, Sharyl Attkisson says sorting fact from fiction amid the coronavirus pandemic has been made mor… https://t.co/3swPdkYjFV
1259313915974103000,Sun May 10 02:46:49 +0000 2020,San Diego deputies called after man spotted wearing swastika face mask in grocery store https://t.co/CWLx4CLOki
1259276978311647200,Sun May 10 00:20:02 +0000 2020,California churches plan to defy Newsom’s orders, re-open May 31 | Just The News https://t.co/Y2EWzBJrkj
1259275720611807200,Sun May 10 00:15:02 +0000 2020,Associated Press: Journalists should avoid the word ‘mistress,’ use ‘companion’ or ‘lover’ instead | Just The News https://t.co/uMj1EW5hX7
1259261880503357400,Sat May 09 23:20:02 +0000 2020,Report: Obama claims ‘rule of law is at risk’ in Flynn ruling | Just The News https://t.co/JKBLmlNJed
1259250555358240800,Sat May 09 22:35:02 +0000 2020,Virginia governor announces guidelines for ‘phase one’ of state’s reopening | Just The News https://t.co/NzfQ80YViI
1259243192723091500,Sat May 09 22:05:47 +0000 2020,San Diego deputies called after man spotted wearing swastika face mask in grocery store | Just The News https://t.co/NaWG4HLQiN
1259197710328103000,Sat May 09 19:05:03 +0000 2020,Over half of all U.S. coronavirus deaths have occurred in just 5 states | Just The News https://t.co/Pd2wxpAL3N
1259185128527597600,Sat May 09 18:15:03 +0000 2020,Gaetz slams Trey Gowdy over 2018 F.B.I. remarks, claims ‘failure of our Republican leadership’ | Just The News https://t.co/PyNAQXk6qg
1259182609449603000,Sat May 09 18:05:03 +0000 2020,5 companies making bank during the coronavirus pandemic | Just The News https://t.co/eOFimd2ELr
1259178528194658300,Sat May 09 17:48:50 +0000 2020,Little Richard, the ‘Architect of Rock and Roll,’ dead at 87 | Just The News https://t.co/VcesnEyE8D
1259168769894686700,Sat May 09 17:10:03 +0000 2020,A politician couldn’t ask for better infomercial than Netflix’s Michelle Obama documentary | Just The News https://t.co/082H4VZaop
1259153672010961000,Sat May 09 16:10:04 +0000 2020,Media Bias: Vox’s Aaron Rupar blasts idea of Trump campaign selling face masks as ‘next level MAGA grift’ | Just Th… https://t.co/2kZ1SciTKq
1259119705165627400,Sat May 09 13:55:05 +0000 2020,Dirty Dozen: The 12 revelations that sunk Mueller’s case against Flynn | Just The News https://t.co/mJS1MluyRQ
1259107116436074500,Sat May 09 13:05:04 +0000 2020,As talk of auto bailout grows, GOP congressman calls it ‘socialism’ and ‘cronyism’ | Just The News https://t.co/sY8NubBfSA
1259100823889600500,Sat May 09 12:40:04 +0000 2020,He said, he said: 5 times Fauci broke with Trump | Just The News https://t.co/xx13WGBuCM
1259087484543271000,Sat May 09 11:47:03 +0000 2020,Religious liberty fight. Church sues Maine governor over banning in-person religious services https://t.co/rw0tYLojTC
1259080686943813600,Sat May 09 11:20:03 +0000 2020,Inflated numbers? Doctors raise concerns about CDC’s new rules on reporting virus deaths. | Just The News https://t.co/3fwWQNsr2E
1259065588586090500,Sat May 09 10:20:03 +0000 2020,Out of here! 42% of Americans expect permanent exodus from large cities like New York after coronavirus. | Just The… https://t.co/z3C72YUFwa
1258969018188382200,Sat May 09 03:56:19 +0000 2020,Illusionist Roy Horn of famed Siegfried and Roy duo dies from coronavirus | Just The News https://t.co/ZCT2IMEJcS
1258938237642518500,Sat May 09 01:54:00 +0000 2020,Reade wants Biden to withdraw from the presidential race | Just The News https://t.co/l56QPw2A0r
1258922139400405000,Sat May 09 00:50:02 +0000 2020,Maine church sues governor over banning in-person religious services | Just The News https://t.co/z6WNHso6cB
1258918363927138300,Sat May 09 00:35:02 +0000 2020,Renewed calls for Georgia hate-crimes law after shooting of Ahmaud Arbery | Just The News https://t.co/9XnlbUHQu2
1258912241048526800,Sat May 09 00:10:42 +0000 2020,COVID doctors challenge CDC’s rules on cause of death, concerned about inflated numbers | Just The News https://t.co/3fwWQNsr2E
1258881226791936000,Fri May 08 22:07:28 +0000 2020,Declassified transcripts: CrowdStrike couldn’t say for sure Russians downloaded DNC emails | Just The News https://t.co/O8RIkc7Hbm
1258854478264107000,Fri May 08 20:21:10 +0000 2020,Congressman introduces legislation to repeal Logan Act that had been threatened to be used against FLynn. | Just Th… https://t.co/Yr16zgpYDL
1258832830240563200,Fri May 08 18:55:09 +0000 2020,White House press secretary slams public vs private claims by officials on Russian collusion | Just The News https://t.co/kJ1b09cxKy
1258823612217413600,Fri May 08 18:18:31 +0000 2020,1996 court document shows Tara Reade told ex-husband about sexual harassment inside Biden Senate office. https://t.co/BDyAPcgTAd
1258821388640702500,Fri May 08 18:09:41 +0000 2020,Coronavirus exodus: 42% of Americans expect permanent exodus from large cities like New York | Just The News https://t.co/Hn1GopIVfa
1258811096263274500,Fri May 08 17:28:47 +0000 2020,House Democrat Nadler vows to bring Barr to Capitol Hill, after dropping Flynn case | Just The News https://t.co/zroRgSNGQx
1258801339758493700,Fri May 08 16:50:01 +0000 2020,Breaking: Trump scores major win as SUpreme Court grants administration’s request to shield Mueller grand jury mate… https://t.co/zRYVPM0hth
1258793244835668000,Fri May 08 16:17:51 +0000 2020,Why was DNC connected lawyer shopping Trump-Russia dirt to CIA?| Just The News https://t.co/AxaWKvxsue
1258761771382431700,Fri May 08 14:12:47 +0000 2020,Financial markets open with gains, despite 14.7% April unemployment report | Just The News https://t.co/9XhwC6wrZa
1258744734060884000,Fri May 08 13:05:05 +0000 2020,‘Historic Misuse’: Former FBI intel chief slams Comey’s pursuit of Flynn | Just The News https://t.co/CNDJPpmcoU
1258734660668002300,Fri May 08 12:25:03 +0000 2020,National debt could hit $40 trillion by end of pandemic, congressman warns | Just The News https://t.co/gm13yPMrKT
1258724599480684500,Fri May 08 11:45:05 +0000 2020,Doctor used by NYT to attack Kushner’s coronavirus work disavows misleading narrative | Just The News https://t.co/GG027Wzh2E
1258718300768436200,Fri May 08 11:20:03 +0000 2020,Boomerang: Schiff releases transcripts undercutting Dem claims of Russia collusion proof. FBI and intel officials s… https://t.co/7dQlHBG9n0
1258714532194779100,Fri May 08 11:05:04 +0000 2020,5 ways your privacy could change after coronavirus | Just The News https://t.co/PnHWDTNF4I
1258708238482182100,Fri May 08 10:40:04 +0000 2020,Timeline of Justice Department’s case against Michael Flynn | Just The News https://t.co/JogTcm7VWD
1258704458814455800,Fri May 08 10:25:03 +0000 2020,Mining the Moon: Trump administration drafting international agreement | Just The News https://t.co/tkcJgPlSiJ
1258700685966704600,Fri May 08 10:10:03 +0000 2020,Coronavirus Disconnect: US death rate lower than much of Europe, yet 38% think America doing ‘worse’ | Just The News https://t.co/gPOKFo3WDA
1258602441689501700,Fri May 08 03:39:40 +0000 2020,Two arrested in Georgia in fatal shooting of jogger caught on video | Just The News https://t.co/tDK3p5Jz4g
1258601281377259500,Fri May 08 03:35:03 +0000 2020,Newsom pushes for federal funding, saying it shouldn’t be a ‘red or blue’ issue | Just The News https://t.co/sMFtFiYpwa
1258597801275134000,Fri May 08 03:21:14 +0000 2020,No one can be evicted in N.Y. until August 20 | Just The News https://t.co/VCiWx2Odll
1258557576272363500,Fri May 08 00:41:23 +0000 2020,Breaking: Declassified transcripts released by Schiff show FBI, intel officials had little proof of collusion well… https://t.co/zmWgzBZmmd
1258510603372474400,Thu May 07 21:34:44 +0000 2020,Trump administration cuts 60 Chinese companies from supplying N95 masks, citing low quality | Just The News https://t.co/rASlsFnZib
1258497729451511800,Thu May 07 20:43:35 +0000 2020,Omar becomes first ‘Squad’ member to sign AIPAC-backed letter backing Trump and Israel on Iran arms embargo  | Just… https://t.co/af5Clmyob4
1258492281889439700,Thu May 07 20:21:56 +0000 2020,Breaking: Trump declares Flynn 'innocent man' and 'warrior,' after Justice Department moved to drop case https://t.co/XwGk6GEYxr
1258476638897143800,Thu May 07 19:19:46 +0000 2020,Read the DOJ’s historic court motion asking to drop the criminal case against Michael Flynn | Just The News https://t.co/hk71yD5BZT
1258472992201412600,Thu May 07 19:05:17 +0000 2020,BREAKING: Flynn lawyer Sidney Powell hails DOJ decision to drop charges as a victory for rule of law. | Just The Ne… https://t.co/Uz8uRPn1cO
1258469158527938600,Thu May 07 18:50:03 +0000 2020,‘Think big’ Pelosi says it would be ‘penny foolish’ to stop coronavirus stimulus spending | Just The News https://t.co/BRmZspEks3
1258468934296223700,Thu May 07 18:49:09 +0000 2020,BREAKING: Justice Department dropping criminal case against Flynn | Just The News https://t.co/0YRPRzF59a
1258466948528189400,Thu May 07 18:41:16 +0000 2020,Breaking: Lead prosecutor in Flynn case abruptly resigns | Just The News https://t.co/JmBZE1iu2t
1258461618696061000,Thu May 07 18:20:05 +0000 2020,White House valet close to Trump tests positive for coronavirus | Just The News https://t.co/L2nn7zq8QV
1258457835542888400,Thu May 07 18:05:03 +0000 2020,Pentagon officials tell Congress the FCC plan to allow 5G network threatens national security | Just The News https://t.co/2Kq7E2cpAF
1258454001668051000,Thu May 07 17:49:49 +0000 2020,US death rate lower than many Euro countries, yet 38% voters think US doing ‘worse job’ on COVID-19 | Just The News https://t.co/gPOKFo3WDA
1258440619728556000,Thu May 07 16:56:39 +0000 2020,Pennsylvania reports: average coronavirus death age 79; 67% of all state deaths in nursing homes. Significant new d… https://t.co/jXfJZgTxfd
1258439279509942300,Thu May 07 16:51:19 +0000 2020,Steve Mnuchin and Axl Rose engage in Twitter feud | Just The News https://t.co/N5SPs4mdqp
1258407510400217000,Thu May 07 14:45:05 +0000 2020,Facebook appoints 20 members to its ‘Supreme Court’ for speech rules, including harsh Trump critic who was Democrat… https://t.co/25RG74Y8os
