id,created_at,text
1259761566427295700,Mon May 11 08:25:37 +0000 2020,W tych dniach wielu ludzi straciło pracę. Módlmy się za naszych braci i siostry, którzy cierpią na skutek bezrobocia. #MódlmysięWspólnie
1259460680236675000,Sun May 10 12:30:00 +0000 2020,Dziś w wielu krajach obchodzony jest #Dzieńmatki. Z wdzięcznością i miłością chcę przypomnieć wszystkie mamy, powie… https://t.co/2VJPldWckU
1259430480450998300,Sun May 10 10:30:00 +0000 2020,W #EwangelianaDziś (J 14, 1-12) Jezus wskazuje dwa lekarstwa na niepokój serca. Pierwsze: nie polegać na sobie samy… https://t.co/DfLRoxE1RY
1259401683035140000,Sun May 10 08:35:34 +0000 2020,Aby się modlić potrzeba odwagi. Modlitwa to podążanie z Jezusem do Ojca, który obdarzy nas wszystkim. Kościół idzie… https://t.co/GXLABZWOpb
1259083192713216000,Sat May 09 11:30:00 +0000 2020,W 70. rocznicę Planu Schumana życzę, aby on nadal ispirował tych, którzy pełnią odpowiedzialne funkcje w Unii Europ… https://t.co/m8kRLk9BD7
1259052378634039300,Sat May 09 09:27:33 +0000 2020,Kościół podąża naprzód wśród pocieszeń otrzymywanych od Boga i prześladowań ze strony świata. Duch Święty tworzy ha… https://t.co/OYG9PVvNGh
1259034655107559400,Sat May 09 08:17:08 +0000 2020,W dzień, w którym wspominamy św. Ludwikę di Marillac #módlmysięwspólnie za siostry szarytki, które od prawie 100 la… https://t.co/tOieblj5Hz
1258720803824124000,Fri May 08 11:30:00 +0000 2020,Dziś, w Sanktuarium w Pompejach wznosi się intensywna modlitwa Błagalna do #PaniRóżańcowej. #MódlmysięWspólnie prze… https://t.co/NJGb4Grthk
1258688573626335200,Fri May 08 09:21:55 +0000 2020,Jak pociesza Pan? Poprzez bliskość: mówi niewiele, ale jest blisko. Poprzez prawdę: nie mówi rzeczy formalnych, nie… https://t.co/gQxv0lnAwx
1258673317000642600,Fri May 08 08:21:18 +0000 2020,Dziś obchodzony jest Światowy Dzień Czerwonego Krzyża i Czerwonego Półksiężyca. #MódlmysięWspólnie za osoby pracują… https://t.co/KRQg97EPh4
1258358416445227000,Thu May 07 11:30:00 +0000 2020,Podczas izolacji, w której cierpimy z powodu braku bliskości i spotkań, doświadczając braku wielu rzeczy, posłuchaj… https://t.co/Dyr9xOngnP
1258328217380745200,Thu May 07 09:30:00 +0000 2020,Bycie chrześcijaninem wyraża się w przynależności do ludu wybranego przez Boga w darmowy sposób, oraz w pamięci o t… https://t.co/PCft2GvsBR
1258315205400035300,Thu May 07 08:38:17 +0000 2020,Pragnę prosić Pana, aby błogosławił artystom, którzy pozwalają nam zrozumieć, czym jest piękno. Bez niego nie można… https://t.co/9xxDT8t4Sd
1257996029355581400,Wed May 06 11:30:00 +0000 2020,#Modlitwa jest oddechem wiary, jest jak krzyk wydobywający się z serca tego, kto wierzy i powierza się Bogu. Wiara… https://t.co/J9TWdSgq8B
1257965829246705700,Wed May 06 09:30:00 +0000 2020,Nie jest łatwo żyć w świetle. Światło sprawia, że widzimy w sobie wiele brzydkich rzeczy: nałogi, pychę, duch świat… https://t.co/LLc6pd7z4K
1257948146841329700,Wed May 06 08:19:44 +0000 2020,#MódlmysięWspólnie za osoby pracujące w środkach komunikacji społecznej. W tym czasie pandemii wiele ryzykują i maj… https://t.co/ztfaigyTwv
1257682713802399700,Tue May 05 14:45:00 +0000 2020,https://t.co/x2XLRH8kJd
1257618097466466300,Tue May 05 10:28:14 +0000 2020,Są postawy, które nie pozwalają nam postępować na drodze poznania Pana: bogactwo, acedia, surowość, klerykalizm, św… https://t.co/ZoTufkdF7x
1257588617431658500,Tue May 05 08:31:05 +0000 2020,Módlmy się dziś za tych, którzy zmarli z powodu pandemii. Umarli samotnie, bez czułej obecności swych bliskich, wie… https://t.co/SSR6NIqi5J
1257271252407980000,Mon May 04 11:30:00 +0000 2020,Przyjąłem propozycję Najwyższego Komitetu dla #BraterstwaLudzkiego, aby 14 maja, wierzący wszystkich religii zjedno… https://t.co/2m2fZk1Ik8
1257242025264664600,Mon May 04 09:33:51 +0000 2020,Są idee, które wprowadzają podziały, do tego stopnia, że idea staje się ważniejsza od Ducha Św., który nas prowadzi… https://t.co/YBof3kpiee
1257226962898124800,Mon May 04 08:34:00 +0000 2020,W tym czasie kwarantanny, rodziny próbują robić wiele nowych rzeczy, jest wiele kreatywności w podążaniu naprzód. A… https://t.co/VLIQlYZY8d
1256946616130588700,Sun May 03 14:00:00 +0000 2020,W obecnym kryzysie potrzebujemy dziennikarstwa, które służy wszystkim ludziom, szczególnie tym, którzy nie mają gło… https://t.co/vZLNLdPIsV
