id,created_at,text
1253196383877660700,Thu Apr 23 05:37:55 +0000 2020,RT @RobertDowneyJr: In honor of EARTH DAY, and in tandem with @ProbablyPaigey's (FPC North Carolina Ambassador’s) 18th BDAY...The as-promis…
1253195643989790700,Thu Apr 23 05:34:59 +0000 2020,In honor of EARTH DAY, and in tandem with Paige Winter’s (FPC North Carolina Ambassador’s) 18th BDAY...The as-promi… https://t.co/Evy0NxQGK9
