id,created_at,text
1259522394726690800,Sun May 10 16:35:14 +0000 2020,@SAMIK_JOSHI Our delivery partners are our biggest assets and your satisfaction is our prime motto. Rest assured yo… https://t.co/QyYKUjUJko
1259476638359679000,Sun May 10 13:33:25 +0000 2020,@SAMIK_JOSHI Hi Samik, Sorry for the hassle. We have shared the details with the team and they will look into it.
1254620311128965000,Mon Apr 27 03:56:06 +0000 2020,@IqbalAl54917601 Hi Iqbal, It would be great if you can DM your concern, so that we can help you out accordingly.
1251088695463047200,Fri Apr 17 10:02:43 +0000 2020,@jprateek7 We will arrange a call for you shortly.
1249922168814579700,Tue Apr 14 04:47:22 +0000 2020,@jprateek7 The mobile from which you are trying to login has been flagged due to multiple registration and you woul… https://t.co/spmAhlPRPi
1249544250666012700,Mon Apr 13 03:45:39 +0000 2020,@jprateek7 Hi Prateek, We need to check your account for this. Please DM us your registered number along with the e… https://t.co/HqMUTmGjtz
1248231521791721500,Thu Apr 09 12:49:20 +0000 2020,@Muskaaa2 We have already confirmed from the finance team and communicated over the call, that amount is already pr… https://t.co/sVw0Q8DGYo
1248203799153574000,Thu Apr 09 10:59:10 +0000 2020,@Muskaaa2 The amount is processed successfully from our end.
1247032536888258600,Mon Apr 06 05:25:00 +0000 2020,@Som53579938 @jugnoose Hi Som, We'd like to understand the issue and help you with it. Kindly DM your details and w… https://t.co/QCQm07VZLS
1247031756751954000,Mon Apr 06 05:21:54 +0000 2020,@Nishya97483556 @samarsingla @jugnoose Hi Nishya, Sorry for the hassle. Could you please share a brief description… https://t.co/E57AyPSvoI
1247028981414555600,Mon Apr 06 05:10:52 +0000 2020,@Muskaaa2 @jugnoose Hi Muskaaa, Sorry to hear that. We request you to DM your contact number and we will look into it.
1246349520587251700,Sat Apr 04 08:10:56 +0000 2020,@Anilvaish161992 As per our telephonic conversation, your issue has been resolved.
1246337142285987800,Sat Apr 04 07:21:45 +0000 2020,@Anilvaish161992 Hi Anil, Thank you for reaching out to us. We will contact you shortly.
1245316847316025300,Wed Apr 01 11:47:27 +0000 2020,@pratik98730410 As per our telephonic conversation, your issue has been resolved.
1244917495418372000,Tue Mar 31 09:20:35 +0000 2020,@pratik98730410 We tried to contact you on your registered number but unfortunately could not get in touch with you… https://t.co/wXaJzRPtPb
1244495432522141700,Mon Mar 30 05:23:27 +0000 2020,@MohammadrasidP Hi MohammadRasid, Kindly Dm your registered contact number, so that we can help you out accordingly.
1243339202571284500,Fri Mar 27 00:49:00 +0000 2020,@pratik98730410 Hi Pratik, we have forwarded your concern to the relevant team to look into it so that we can avoid… https://t.co/OMIsyRvSYC
1243230334239424500,Thu Mar 26 17:36:24 +0000 2020,@pratik98730410 Hi Pratik, As per your concern we have confirmed from the driver, he took the route on your request… https://t.co/skoGTp6gSb
1243015401329442800,Thu Mar 26 03:22:20 +0000 2020,@Sharma_spks Hi Nishit, Thank you for  your interest, our product expert will get in touch with you shortly.
1240931737422540800,Fri Mar 20 09:22:36 +0000 2020,@Spal171 We tried to contact you on your registered number but unfortunately could not get in touch with you. Pleas… https://t.co/AOqX8Q7x1R
1240665733014552600,Thu Mar 19 15:45:35 +0000 2020,@Spal171 Hi Shubham, we really apologize for the inconvenience caused to you, as per your discussion over the chat… https://t.co/xjaJpZVbrv
1238107282216325000,Thu Mar 12 14:19:13 +0000 2020,@apoorvasheth Hi Apoorva, we really apologize for the inconvenience caused to you, kindly DM the ride id, so that w… https://t.co/XGlU9NFhiT
1237976756729950200,Thu Mar 12 05:40:33 +0000 2020,@24pawanagarwal @ZeeNews Hi Pawan, As per our telephonic conversation, your issue has been resolved.
1237600961171878000,Wed Mar 11 04:47:17 +0000 2020,@Birdy__7 @Olacabs @jugnoose @Uber @Uber_Support Hi, We request you to share the vehicle number, so that we can further look into it.
1237505969287860200,Tue Mar 10 22:29:49 +0000 2020,@ag___shubh @jugnoose Hi shubham, We are extremely sorry, this is something which is not acceptable at all. We will… https://t.co/IFYZ2P4iLn
1236995127463121000,Mon Mar 09 12:39:55 +0000 2020,@Enlivened_Viral @jugnoose @Olacabs @Uber @UberFacts @UberSoc @Uber_India @Uber_Support We are extremely sorry for… https://t.co/2LyO862G1r
1236694362794283000,Sun Mar 08 16:44:47 +0000 2020,@Enlivened_Viral As per your concern, we didn't fool you, you didn't apply the coupon that's why you didn't receive the benefit.
1236661681880592400,Sun Mar 08 14:34:55 +0000 2020,@Enlivened_Viral Hi Viral, As per your concern, we have checked you didn't apply the discount coupon on this ride.… https://t.co/ws7blEv8t5
1236366128026247200,Sat Mar 07 19:00:30 +0000 2020,@ameypdesai @jugnoose @Olacabs @Uber @samarsingla @UberFacts @vijayrupanibjp Hi Amey, The coupon benefits are fixed… https://t.co/Q0ttHp553S
1236334566496845800,Sat Mar 07 16:55:05 +0000 2020,@ameypdesai @jugnoose @Olacabs @Uber @samarsingla Hi Amey, As checked, we found you have applied 29 for 4 km coupon… https://t.co/orhE0kpQiy
1236324617905569800,Sat Mar 07 16:15:33 +0000 2020,@thedeepmandloi @jugnoose @Olacabs @Uber_India Hi, We are extremely sorry, this is something which is not acceptabl… https://t.co/D5m0jlDljp
1234730951906738200,Tue Mar 03 06:42:53 +0000 2020,@SumanyuGoyal @jugnoose Hi Sumanyu, We really apologize​ for the inconvenience caused. Please allow us some time as… https://t.co/4SRqjo9iaQ
1234114232418885600,Sun Mar 01 13:52:16 +0000 2020,@ShemalT Hi Shemal, we have shared your concern with the relevant team to look into to check the reason for this huge variation.
