id,created_at,text
1260696358941581300,Wed May 13 22:20:09 +0000 2020,@lawyermrw Hi Marwa, we're sorry to hear about your recent shopping experience. Please DM us your order details, so… https://t.co/3uBt3i4qBD
1260651028732469200,Wed May 13 19:20:01 +0000 2020,Poet, filmmaker and actor Greta Bellamacina shares the ways she’s keeping some control during lockdown, where she’s… https://t.co/y9aOO9qPyR
1260571755430719500,Wed May 13 14:05:01 +0000 2020,In this week’s #PORTER interview, @TraceeEllisRoss talks about facing her fears, finding her own voice and how she’… https://t.co/c26ERDCzuP
1260532750328696800,Wed May 13 11:30:01 +0000 2020,A bucket bag with summer flair is on the top of today's wish list #BagsBulletin https://t.co/Gu3wi5iFMv https://t.co/dXBKaox6xp
1260531908221587500,Wed May 13 11:26:41 +0000 2020,@MicheleHandley Hello Michele, please do DM us your daughters full name and order details so that we can look into… https://t.co/SaN9tiTidl
1260530066355880000,Wed May 13 11:19:21 +0000 2020,@MicheleHandley Hello Michele, we are sorry to hear that. Please DM us your full name and order details and a membe… https://t.co/jede1cBmhV
1260511010420596700,Wed May 13 10:03:38 +0000 2020,Made from quilted leather in glowing neon hue, @MaisonValentino's Rockstud Spike mini bag will bring a spark of joy… https://t.co/W8CwfSzXeH
1260481349376446500,Wed May 13 08:05:46 +0000 2020,@MelsWardrobe Hello Melissa, we are sorry to hear that. Please DM us your full name and order details and a member… https://t.co/z9DF04cKPU
1260298958414512000,Tue May 12 20:01:01 +0000 2020,There aren’t many challenges that @traceeellisross hasn’t embraced. In this week’s #PORTER interview, she talks abo… https://t.co/MLl91kQpZY
1260253911274979300,Tue May 12 17:02:01 +0000 2020,@Prada's take on casual summer wear? An oversized shirt, cool shorts and their chunky '90s-inspired 'Thunder' sanda… https://t.co/7KN2xDZoxJ
1260208866173890600,Tue May 12 14:03:01 +0000 2020,Embrace the latest spring trend by pairing monochrome tailoring with slim shorts and minimal sandals, as seen here… https://t.co/Sla4ZnlGRw
1260170362307973000,Tue May 12 11:30:01 +0000 2020,Finally got the time to overhaul your closet? Click to discover the emerging-designers that are top of our wish lis… https://t.co/AuxxOpmBrL
1260130612381470700,Tue May 12 08:52:04 +0000 2020,#ChristopherJohnRogers' collections have attracted the attention of those who aren't afraid of rocking bold colors.… https://t.co/nhmX0oJRcN
1259943869002760200,Mon May 11 20:30:01 +0000 2020,Striking the perfect balance between pretty and practical, this covetable piece is an essential component of every… https://t.co/myGdcMwJqC
1259923142757224400,Mon May 11 19:07:40 +0000 2020,@vvaz_32 Hi Veronica, we are very sorry for the delay in responding to you.  Your order is now packed and has begun… https://t.co/I27NuwJCbQ
1259908544197021700,Mon May 11 18:09:39 +0000 2020,@fitzy89 Hi Robert, we are very sorry for any inconvenience you have experienced on our site.  Please DM us your em… https://t.co/dtasVdFo1G
1259853269322666000,Mon May 11 14:30:01 +0000 2020,In this week’s #PORTER interview, @TraceeEllisRoss talks about facing her fears, finding her own voice and how she’… https://t.co/OawfRywffK
