id,created_at,text
1258575343297806300,Fri May 08 01:51:59 +0000 2020,RT @CreativeWavesGF: We’re so grateful to have Candy Tamposi, Mona Jean, and future music educator Isis Ferreira in the Creative Waves fami…
1258558793039765500,Fri May 08 00:46:13 +0000 2020,RT @AndTheWriterIs: In catching up with Ross, this season 1 writer talks about how important it is to be present throughout the creative pr…
1257854360379207700,Wed May 06 02:07:03 +0000 2020,Grateful to all the teachers for everything they do for their students, especially my mom who has dedicated her ent… https://t.co/9ZoeOXA4iW
1253051091056353300,Wed Apr 22 20:00:35 +0000 2020,Be kind to our planet.  Make every day #EarthDay. https://t.co/H8TNbosns2
1250892161878556700,Thu Apr 16 21:01:46 +0000 2020,RT @CreativeWavesGF: Founded by Grammy-nominated songwriter @AliTamposi, the Creative Waves Giving Fund supports gifted and talented childr…
1249896891644403700,Tue Apr 14 03:06:55 +0000 2020,Been a while.... is this thing on?
