id,created_at,text
1246074504641523700,Fri Apr 03 13:58:07 +0000 2020,Episode 184 — Good is Better Than Perfect  https://t.co/fxlBWIMEjC  Masks and Twitter’s decision to delete tweets about COVID-19.
1238406254168387600,Fri Mar 13 10:07:14 +0000 2020,Episode 183 — A Search for Everything  https://t.co/NNP6U8Hrf1  U.S. and China's response to the coronavirus, and t… https://t.co/zyiCi9UfAb
1233451660954914800,Fri Feb 28 17:59:27 +0000 2020,Episode 182 — Scale Scale Scale  https://t.co/isbHc4P6Vd  The FTC’s decision to block the acquisition of Harry’s Ra… https://t.co/2SNmac9Zdj
1230779569805742000,Fri Feb 21 09:01:30 +0000 2020,Episode 181 — Competing with Spotify and Regulating Acquisition  https://t.co/fxYbSMqOKh  Ben's new Daily Update Po… https://t.co/uMYOQyiFA7
1223198166813556700,Fri Jan 31 10:55:43 +0000 2020,Episode 180 — It’s Been a Week  https://t.co/a1QiwWUEkx  A eulogy for Professor Clayton M. Christensen
1218329891642335200,Sat Jan 18 00:30:56 +0000 2020,Episode 179 — The Water We Swim In  https://t.co/ZQkhDmyIf1  Whether mobile and hyper-scale clouds are the natural… https://t.co/geU8wxcaPC
1197808220804223000,Fri Nov 22 09:25:08 +0000 2019,Episode 178 — More Ergonomic  https://t.co/rBsY3UsIND  The downsides of monopoly, and Apple. Then, why there is no… https://t.co/1WIY1znzzh
1192843734909476900,Fri Nov 08 16:38:03 +0000 2019,Episode 177 — Principle Stacks  https://t.co/vOKxYrPFak  The origins of the First Amendment, what a culture of free… https://t.co/yMSl4GnYuZ
1187665036946264000,Fri Oct 25 09:39:45 +0000 2019,Episode 176 — The Second Estate Era  https://t.co/Id9K4Xbd3f  How the Internet's impact will be like the printing p… https://t.co/n2oZJzTLf7
1184083464712147000,Tue Oct 15 12:27:51 +0000 2019,RT @exponentfm: Episode 175 — The Abyss Stares Back  https://t.co/l0ZfBUHw5I  The NBA and Apple in China and the long-term implications of…
