id,created_at,text
1260939538849042400,Thu May 14 14:26:27 +0000 2020,RT @partlowj: ’The land belonged to our ancestors’: Trump’s business partner in Indonesia exhumed graves in West Java to build resort https…
1259109616014614500,Sat May 09 13:15:00 +0000 2020,25 years ago to the day, Trump published this Plaza Hotel ad in @Forbes Magazine. "Donald J. Trump presents The Lan… https://t.co/mXf5jBC1qW
1258075452788400000,Wed May 06 16:45:36 +0000 2020,RT @mtindera07: Yesterday I reported that Joe Biden's campaign had received contributions from 94 #billionaires and their spouses as of Mar…
1257687905860030500,Tue May 05 15:05:38 +0000 2020,Joe Biden overtook Donald Trump in the battle for billionaire donors as COVID-19 ravaged the nation.   Fascinating… https://t.co/TUFMEHiDxo
1256413538664448000,Sat May 02 02:41:45 +0000 2020,RT @Z_Everson: @realDonaldTrump @1100Penn Having re-opened today, tomorrow's tee times at Trump Doral are all booked.  https://t.co/o78VjXU…
1255850163459031000,Thu Apr 30 13:23:06 +0000 2020,RT @WillYakowicz: Casino billionaire and President Trump's closet friend Phil Ruffin says he has enough cash to keep his casinos closed for…
1253819383069245400,Fri Apr 24 22:53:30 +0000 2020,RT @RandallLane: I texted Kanye two minutes before, as a courtesy. This was his response: https://t.co/H3JWFQIWra
1253795325350985700,Fri Apr 24 21:17:54 +0000 2020,RT @zogblog: Kanye West is now officially a billionaire -- and he really wants the world to know. The latest via @Forbes: https://t.co/qhOb…
1253310639084355600,Thu Apr 23 13:11:56 +0000 2020,RT @haleybureau: This is a nuts story.  "The 43 men went home Sunday after each working 12-hour shifts all day and night for a month straig…
1252356985816674300,Mon Apr 20 22:02:27 +0000 2020,Mike Bloomberg spent more than $1 billion on his short-lived, ultimately-unsuccessful presidential campaign.   That… https://t.co/xCuSlLzE8M
1251603116820254700,Sat Apr 18 20:06:51 +0000 2020,RT @ChaseWithorn: A year ago today, Trump was on his way to celebrate Easter weekend at Mar-a-Lago. What a difference a year makes. https:/…
1251158134564905000,Fri Apr 17 14:38:39 +0000 2020,The @Forbes wealth team tracked down 54 billionaires who have announced they are giving specific amounts of money t… https://t.co/UewHs8OJJY
1251130247497515000,Fri Apr 17 12:47:50 +0000 2020,80 billionaires and their spouses have donated to President Trump's reelection campaign, according to a review of F… https://t.co/k5xmjbqmLz
1250788258591670300,Thu Apr 16 14:08:54 +0000 2020,RT @Z_Everson: Newly released documents show that in 2018, the rebranded Eric Trump Foundation spent $193,000 holding a charity fundraiser…
1247620760354590700,Tue Apr 07 20:22:23 +0000 2020,The annual Forbes billionaires list came out today, ranking the richest people on earth.  1. Jeff Bezos - $113 bill… https://t.co/XkWaNJJBCx
1245749259045146600,Thu Apr 02 16:25:42 +0000 2020,The idea that Trump is not a billionaire is still widespread. Let's be clear: That's a conspiracy theory, contradic… https://t.co/GxHVqDCEAZ
