id,created_at,text
1260950899331080200,Thu May 14 15:11:36 +0000 2020,Important story from @ronbrownstein https://t.co/vv7qoKzGOM
1260948667550306300,Thu May 14 15:02:44 +0000 2020,President Trump is "using the tools of national authority to advance the priorities of red America while weakening… https://t.co/OROe2cgycK
1260660478906216400,Wed May 13 19:57:34 +0000 2020,RT @Susanforney: @PeterAtlantic following you, so funny on @juliemason
1260658695651786800,Wed May 13 19:50:29 +0000 2020,"Trump and his allies are working to graft his own vulnerabilities onto Joe Biden, painting him as a feeble alterna… https://t.co/dHFnFkyFKm
1260657240144408600,Wed May 13 19:44:42 +0000 2020,RT @POTUSPressPool: So great to get @PeterAtlantic back in @POTUSPressPool with @JulieMason to break down his report on President Trump’s c…
1260570896215027700,Wed May 13 14:01:36 +0000 2020,RT @michaelkruse: Are Republican lawmakers worried? “I don’t think people are freaking out that it’s the end of Trump,” a Senate aide tells…
1260270150114304000,Tue May 12 18:06:33 +0000 2020,RT @nora_kelly: Fun little nugget in this @PeterAtlantic piece, from a Republican Senate aide: "If you had Biden elected and a Republican S…
1260222322071527400,Tue May 12 14:56:30 +0000 2020,In light of Dr. Fauci's testimony before Senate committee today, here's our piece this morning in which he tells us… https://t.co/eNdSqvIciG
1260203020316483600,Tue May 12 13:39:48 +0000 2020,Sen. Republican aide: "If Trump goes down and goes down big, that means you lose a lot of congressional seats and S… https://t.co/naC7yEo1sQ
1260198226700972000,Tue May 12 13:20:45 +0000 2020,Anthony Fauci says a vaccine could be 3 years away: “Vaccines fail as often—or more often—than they succeed,” he to… https://t.co/Kz9L0Shnr8
1260198015018643500,Tue May 12 13:19:54 +0000 2020,One Senate Republican aide, on whether COVID-19 could cost Trump the election: “I don’t think people are freaking o… https://t.co/8SQHP09UOC
1260197566932758500,Tue May 12 13:18:07 +0000 2020,"Trump and his allies are working to graft his own vulnerabilities onto Joe Biden, painting him as a feeble alterna… https://t.co/nWk0s9jitH
1259947544651739100,Mon May 11 20:44:37 +0000 2020,Pres. Trump: "I'm not happy with China."
1259947325562200000,Mon May 11 20:43:45 +0000 2020,Pres Trump, in response to a question, says his comment "We have met the moment ..." was a reference to testing.
1259946323056439300,Mon May 11 20:39:46 +0000 2020,RT @RonaldKlain: We're going to have 100,000 dead Americans by month's end.  But you go take your victory lap. https://t.co/ndN3fyYWJ3
1259943408002650000,Mon May 11 20:28:11 +0000 2020,RT @JonLemire: Shades of "Mission Accomplished" here even as the U.S. crosses 80,000 dead https://t.co/SIR1TGmdV8
1259942441345405000,Mon May 11 20:24:21 +0000 2020,"We have met the moment. And we have prevailed." Pres. Trump, speaking at Rose Garden news conference just now.
1259678138411487200,Mon May 11 02:54:06 +0000 2020,Mothers Day is almost in the books. The tally shows more than 120 tweets and retweets thus far from Pres. Trump. Ta… https://t.co/yEoBvjxEt5
1258723904836767700,Fri May 08 11:42:19 +0000 2020,Many Black Belt communities still lack hospitals, beds, ventilators, and tests, @AdamHSays reports. https://t.co/MV1OeqaiQw
1258368197272776700,Thu May 07 12:08:52 +0000 2020,"One thing I understood from day one was I didn’t try to tell Tony Fauci how to run clinical trials," Ron Klain tol… https://t.co/eExyKLY9Hv
1257791209805840400,Tue May 05 21:56:07 +0000 2020,After Pres. Trump finishes his remarks at a Honeywell mask-making facility in Arizona, his campaign theme song star… https://t.co/fPNba0S7YJ
1256941868530704400,Sun May 03 13:41:08 +0000 2020,"I imagine the plight of Trump’s speechwriters. Putting words in the mouth of a man whose mouth already overflows w… https://t.co/6CRXoS4EjL
1256578580785565700,Sat May 02 13:37:34 +0000 2020,In past national crises -- 9/11, the '08 financial collapse -- presidents amassed more powers. For all his expansiv… https://t.co/qXLHETkewJ
1256568457128272000,Sat May 02 12:57:20 +0000 2020,Ohio Gov Mike DeWine talks about perils of buying medical equipment in global marketplace. Ohio bought masks from C… https://t.co/o9YXOR9TJR
1256568001249280000,Sat May 02 12:55:32 +0000 2020,Colo. Gov. Polis: Trump admin needs "to be in or out. If they’re out, that’s great; they’re not buying stuff out fr… https://t.co/ue0h1YMpJ5
1256566357359038500,Sat May 02 12:49:00 +0000 2020,Bobby Chesney, Univ TX, on Pres. Trump: “He’s using the rhetoric of an authoritarian without any of the China-style… https://t.co/o3I27c2z5K
1256565204600709000,Sat May 02 12:44:25 +0000 2020,Ohio Gov Mike DeWine on buying a shipment of masks from China by way of LA. Top layer was real; the rest was "junk.… https://t.co/hkKp4smJXQ
1256564341794627600,Sat May 02 12:40:59 +0000 2020,MI Gov Gretchen Whitmer mentions conf call with governors and White House: “I realized we’d have to set up, in our… https://t.co/qfh9kYI7OY
1256563898473472000,Sat May 02 12:39:13 +0000 2020,WA. Gov Jay Inslee: “It’s like being in WW II and not getting the federal government to manufacture boots … I liken… https://t.co/NrNGWKumj7
1256563519673286700,Sat May 02 12:37:43 +0000 2020,CT. Gov Lamont: If Trump "feels more comfortable as a backup quarterback, then the governors will step up and be th… https://t.co/hZ0UK5bhhr
1256562849981370400,Sat May 02 12:35:03 +0000 2020,By ceding control over the government’s pandemic response, Trump is allowing American governors to flex new muscles… https://t.co/N4irRv3WuT
1256262858624716800,Fri May 01 16:43:00 +0000 2020,Joe Biden cannot go on the attack against Tara Reade without seeming like a hypocrite, @emmaogreen writes. https://t.co/aw7tpIyzwj
1256042429523910700,Fri May 01 02:07:05 +0000 2020,RT @BillKristol: 4. I probably shouldn't have posted these first three tweets without having a reassuring path forward to suggest as the fo…
1256021213652160500,Fri May 01 00:42:47 +0000 2020,RT @EurasiaGroup: With some accusing Trump of "bungling" the #COVID19 response, will tapping growing anti-China sentiment be enough to keep…
1255513420008472600,Wed Apr 29 15:05:00 +0000 2020,“We’re literally killing elders now, through our lack of funding.” Long-term-care facilities are an especially dang… https://t.co/odNC5F2Hl7
1255211388924027000,Tue Apr 28 19:04:50 +0000 2020,"Journalists shouldn’t avoid exposing damaging information about one candidate because his opponent is worse. The j… https://t.co/91ZgxhalyO
1255160327580332000,Tue Apr 28 15:41:56 +0000 2020,What’s the lasting legacy of the chaotic Democratic primary? The death of caucuses, and the rise of ranked-choice a… https://t.co/GgcgYkqURu
