id,created_at,text
1261073552788410400,Thu May 14 23:18:59 +0000 2020,In Yemen, deaths with coronavirus-like symptoms are spiking as hospitals shut down, from @raghavanWaPo  https://t.co/7Cc94lytDj
1260958624622444500,Thu May 14 15:42:18 +0000 2020,Hunger could be more deadly than coronavirus in poorer countries. The damage to economies and health caused by lock… https://t.co/Je9jCL3oAy
1260946647716167700,Thu May 14 14:54:42 +0000 2020,Netanyahu may still head Israel’s new government. But it’s a big change nonetheless. From @SBHendrix  https://t.co/yqYiwUZI60
1260890029003505700,Thu May 14 11:09:43 +0000 2020,Saudi Arabia's worst financial crisis in decades deals a blow to the crown prince’s ambitions for the kingdom, from… https://t.co/WqidNiC35L
1260537614538616800,Wed May 13 11:49:21 +0000 2020,A surge in violence has left two dead over two days in the West Bank, a 21-year-old Israeli soldier struck by a roc… https://t.co/FXPTctPSRP
1260366278310727700,Wed May 13 00:28:31 +0000 2020,As some countries ease up, others are reimposing lockdowns amid a resurgence of coronavirus infections. Lebanon is… https://t.co/qVIPIIYDcA
1260241349309325300,Tue May 12 16:12:06 +0000 2020,Israel’s Netanyahu, armed with a new mandate, sets his sights on West Bank annexation. From @SBHendrix and @agearan https://t.co/1ibTYh3vec
1259803315258429400,Mon May 11 11:11:31 +0000 2020,The Iranian navy has struck one of its own ships with a missile, killing 19 sailors near the Strait of Hormuz, from… https://t.co/RkSbuT0Gwn
1259550641309057000,Sun May 10 18:27:28 +0000 2020,Egypt's military-backed government is using the coronavirus pandemic to tighten its grip on the country, human righ… https://t.co/KkTFRvaHox
1258919114317402000,Sat May 09 00:38:01 +0000 2020,Intelligence officials say attempted cyberattack on Israeli water utilities linked to Iran, from @JobyWarrick and… https://t.co/OpzsNyxf1M
1258832942253645800,Fri May 08 18:55:36 +0000 2020,Secretary of State Pompeo will make a brief visit to Israel next Wednesday, ignoring his own coronavirus travel adv… https://t.co/FDmUQv695i
1258717250216956000,Fri May 08 11:15:52 +0000 2020,Islamic State militants in Iraq are exploiting the coronavirus lockdown to carry out attacks that are more frequent… https://t.co/8KCHagRZyp
1258467337780572200,Thu May 07 18:42:49 +0000 2020,Senate falls well short of overriding Trump’s veto of measure restricting his military authority on Iran, from… https://t.co/dBDSFMnjk2
1258369923858010000,Thu May 07 12:15:43 +0000 2020,An Egyptian television drama depicts Israel’s destruction. Israel isn’t happy. From @raghavanWaPo and @SBHendrix  https://t.co/Hv4etDxUUA
1258356781463584800,Thu May 07 11:23:30 +0000 2020,Iraq has approved its former intelligence chief as the new prime minister, ending months of political deadlock and… https://t.co/Pc7pl6XGhe
