id,created_at,text
1260322559494668300,Tue May 12 21:34:48 +0000 2020,RT @Crave_PR: Canadian comedian @TomHenry sat down with @billharris_TV during @JFL42 to discuss his comedic influences growing up. Read the…
1260281683305250800,Tue May 12 18:52:22 +0000 2020,RT @TSN_PR: .@TSN_Sports Invites Basketball Fans to Choose Their Own Hoops Adventure with SELECT THE SERIES. More on @thelede_ca: https://t…
1259913554729275400,Mon May 11 18:29:34 +0000 2020,RT @TSN_PR: Canada’s Sports Leader Celebrates the Best of the @Raptors with WE THE NORTH WEEK, Starting Tonight. More on @thelede_ca: https…
1259907680254267400,Mon May 11 18:06:13 +0000 2020,RT @CTV_PR: The cast of @CTVSciFi's award-winning original series @OrphanBlack mark #IDAHOTB2020 by reuniting for a virtual, two-episode ta…
1259907656095019000,Mon May 11 18:06:07 +0000 2020,RT @CTV_PR: .@CTV unveiled today the first wave of the network’s sizzling summer lineup – headlined by the new, high-octane, physical compe…
1259881497047302100,Mon May 11 16:22:11 +0000 2020,RT @CTV: Tonight, the final chapter comes to a close. Don't miss the series finale of @CardinalCTV at 10/8mt. #Cardinal https://t.co/Kdq8fV…
1259865219104415700,Mon May 11 15:17:30 +0000 2020,Les animateurs @PierrePag, @RemiPierre Paquin, Christine Morency, Richard Turcotte, Jonathan Roberge et… https://t.co/OJkWEUXsX1
1259864728412852200,Mon May 11 15:15:33 +0000 2020,@PierrePag, @RemiPierre Paquin, Christine Morency, Richard Turcotte, Jonathan Roberge et @MaheePaiement se joignent… https://t.co/78kiEHRB9E
1258841607098556400,Fri May 08 19:30:01 +0000 2020,RT @Much_PR: Much Studios shares a breath of solidarity and kindness with short social video, THE WORLD BREATHES TOGETHER. For details, ple…
1258416110648557600,Thu May 07 15:19:15 +0000 2020,RT @TSN_PR: .@TSN_Sports delivers another fix for football fans with @ESPN’s three-hour @NFL 2020 Schedule Release Special, airing tonight…
1258127229042786300,Wed May 06 20:11:20 +0000 2020,RT @TSN_PR: .@TSN_Sports is Home to Comprehensive Preview and Post-Fight Coverage of UFC® 249, May 9. Details on @thelede_ca:  https://t.co…
1258049466063618000,Wed May 06 15:02:20 +0000 2020,La série humoristique CES GARS-LÀ est maintenant disponible sur @CraveCanada ! Rendez-vous à 20h ce soir pour clava… https://t.co/GgkqIMSvwW
1258042769387421700,Wed May 06 14:35:44 +0000 2020,RT @CTV_PR: Kids ask burning questions about Covid-19 in YOUR KIDS, THEIR QUESTIONS: A YOUR MORNING CORONAVIRUS SPECIAL, May 9 on @CTV. For…
1257688479137501200,Tue May 05 15:07:54 +0000 2020,Pour Chantal Lacroix, il était temps de mettre en pratique ce qu’elle conseille si souvent : se choisir.  MAINTENAN… https://t.co/nq4kpgXAyb
1257677908660965400,Tue May 05 14:25:54 +0000 2020,RT @TheCdnAcademy: Watch the 2020 #CdnScreenAwards virtual presentations, presented by @CBC and @CTV, with the support of @Telefilm_Canada…
1257388887254675500,Mon May 04 19:17:26 +0000 2020,RT @CTV_PR: Fire up the thrusters and set sail for Hawaii with @DiscoveryCanada's brand new spin-off series DEADLIEST CATCH: BLOODLINE, pre…
1257351948568858600,Mon May 04 16:50:39 +0000 2020,RT @iHeartRadioCAPR: iHeartRadio Canada stations in Québec continue to support their community during COVID-19. For details, please visit @…
1257351943778963500,Mon May 04 16:50:38 +0000 2020,RT @TSN_PR: .@TSN_Sports Dives into Hockey History with the 1987 CANADA CUP RELIVED, Beginning May 8. More on @thelede_ca: https://t.co/0iI…
1257344917090832400,Mon May 04 16:22:43 +0000 2020,RT @CTV_PR: .@TransplantCTV cast members share some of the challenges they faced preparing for their roles, and throughout filming. Read th…
1257329301495722000,Mon May 04 15:20:40 +0000 2020,Dès le 29 juin, le joueur étoile @JayDuTemple prend les commandes de L'ÉTÉ C'EST FANTASTIQUE sur l'ensemble du rése… https://t.co/qxFhCFdTP3
1256303250783056000,Fri May 01 19:23:30 +0000 2020,RT @CTV: From our TV doctors to all the real doctors everywhere, thank you. #NationalPhysiciansDay #DoctorsDay #FirstRespondersDay https://…
1256303202464682000,Fri May 01 19:23:19 +0000 2020,RT @CTV_PR: .@CTVW5 Marks the 75th Anniversary of Canadian Troops Liberating the Netherlands, This Saturday. More on @thelede_ca: https://t…
1256303175419736000,Fri May 01 19:23:12 +0000 2020,RT @DiscoveryCAN_PR: This May, @IDdiscoveryCa uncovers a nationwide freeview, beginning May 13, packed with a criminally wicked lineup of t…
1256261589034025000,Fri May 01 16:37:57 +0000 2020,RT @iHeartRadioCAPR: Let the party begin! Virgin Radio hosts VIRTUAL PROM PARTY with DJ Starting From Scratch on May 15. For details, pleas…
1256218831619489800,Fri May 01 13:48:03 +0000 2020,RT @StrongerCanada: More than $8 Million has now been raised for @foodbankscanada as a result of #StrongerTogether #TousEnsemble! https://t…
1255920401768743000,Thu Apr 30 18:02:12 +0000 2020,RT @CTV_PR: "I feel the ♥️ from the whole country," says Canadian @IamLaurenMusic, who is busting borders on #AmericanIdol. She talks to @B…
1255910255004979200,Thu Apr 30 17:21:53 +0000 2020,RT @CTV_PR: Among the list of must-watch titles for the week of May 4 across @CTV the CTV Specialty Channel group are all-new episodes of #…
1255866873897517000,Thu Apr 30 14:29:30 +0000 2020,RT @Crave_PR: Coming to @CraveCanada this week: The premiere of @HBO's new comedy series Betty and the season 5 premiere of @SHO_Billions,…
1255569142217916400,Wed Apr 29 18:46:25 +0000 2020,Devant la situation exceptionnelle vécue par les Québécois, les chaînes de Bell Média adaptent leur programmation.… https://t.co/mrAQlDUK1T
1255550817374834700,Wed Apr 29 17:33:36 +0000 2020,RT @CTV_PR: This Mother's Day, @CTVComedy shines the spotlight on the moms of some of the funniest people in the world in an all-new docume…
1255550761771155500,Wed Apr 29 17:33:23 +0000 2020,RT @CTV_PR: The 24th annual @TheWebbyAwards announced last night the @TheSocialCTV has been recognized as an honouree in two categories. Co…
1255514284550996000,Wed Apr 29 15:08:26 +0000 2020,RT @Bell: Today marks 140 years of connecting Canadians – and we couldn’t be prouder. Thank you to every member of the #TeamBell family who…
1255514262526623700,Wed Apr 29 15:08:21 +0000 2020,RT @Bell_FR: Aujourd’hui marque 140 ans de connexions au Canada et nous ne pourrions être plus fiers. Merci à chaque membre de l’#ÉquipeBel…
1255504509306093600,Wed Apr 29 14:29:35 +0000 2020,RT @WEMovement: It's on! #WEcelebrate the class of 2⃣0⃣2⃣0⃣! 🎓🎊  On June 6 at 8pm ET/PT on @CTV join @SelenaGomez, @ShawnMendes, Natalie Po…
1255501118970396700,Wed Apr 29 14:16:07 +0000 2020,Bell Media’s The @HG_Fund Announces Support for Five New Projects through its Short Film Programs  https://t.co/3lXy9LdUy2
1255496986880589800,Wed Apr 29 13:59:42 +0000 2020,RT @CTV_PR: .@CTV &amp; @WEmovement announce new star-studded primetime special #WECelebrate Class of 2020, hosted by @Lilly. Celebrating stude…
1255496974457020400,Wed Apr 29 13:59:39 +0000 2020,RT @TSN_PR: .@CFLonTSN Delivers Exclusive Live At-Home Coverage of the 2020 @CFL DRAFT, April 30. More on @thelede_ca: https://t.co/rzCuC4D…
1255496956157272000,Wed Apr 29 13:59:35 +0000 2020,RT @Crave_PR: #CravexTIFF continues tonight with Guillermo del Toro! https://t.co/wSPZD85f3K
1255145810968277000,Tue Apr 28 14:44:15 +0000 2020,Dès le lundi 11 mai à 21 h 30 à @ztele, @MarieLyneJoncas plonge dans l’univers du speed racing québécois avec la sé… https://t.co/6iK2VPl7g2
1255144532103946200,Tue Apr 28 14:39:10 +0000 2020,RT @TSN_PR: .@TSNHockey Launches the All-Time 7 Project, Naming the Greatest Rosters for Each Canadian NHL Team. More on @thelede_ca: https…
1254909622269497300,Mon Apr 27 23:05:43 +0000 2020,STRONGER TOGETHER, TOUS ENSEMBLE a amassé 6 millions $ pour l’organisme Banques alimentaires Canada alors que 11,5… https://t.co/LbrOPjq4g5
1254901492848439300,Mon Apr 27 22:33:25 +0000 2020,STRONGER TOGETHER, TOUS ENSEMBLE raises over $6 million so far for Food Banks Canada as historic broadcast reaches… https://t.co/aiNgKnOFdg
1254861994353586200,Mon Apr 27 19:56:28 +0000 2020,RT @iHeartRadioCAPR: .@iHeartRadioCA stations across Canada’s west coast continue to launch helpful initiatives and campaigns that thank an…
1254839227541528600,Mon Apr 27 18:26:00 +0000 2020,RT @TSN_PR: .@TSN_Sports Relives the Magic of the FIFA WOMEN’S WORLD CUP FRANCE 2019, Beginning Today. More on @thelede_ca: https://t.co/kH…
1254839174135533600,Mon Apr 27 18:25:47 +0000 2020,RT @CTV_PR: .@TransplantCTV cast members chat about their off-screen friendships. Read about this great ensemble’s cast chemistry on @thele…
1254774662921244700,Mon Apr 27 14:09:26 +0000 2020,RT @RDS_RP: 🚨🚨 À LA DEMANDE (QUASI) GÉNÉRALE 🚨🚨  #RDS présente LA COUPE MINI-PUTT 2012 du 4 au 7 mai !  + Serge Vleminckx (@univlem) sera l…
1254540922634801200,Sun Apr 26 22:40:38 +0000 2020,RT @JustinTrudeau: Nos travailleurs de première ligne se donnent corps et âme pour nous protéger, nous nourrir et garder le pays en marche.…
1254540911318642700,Sun Apr 26 22:40:36 +0000 2020,RT @JustinTrudeau: Our front line workers are going above and beyond to keep us safe, our shelves stocked, and our country moving. And toni…
1254538894764318700,Sun Apr 26 22:32:35 +0000 2020,RT @StrongerCanada: Et c’est parti! Rejoignez-nous sur @CTV @CBC @City_tv @GlobalTV @radiocanada dès maintenant ou visitez https://t.co/QhR…
1254454903218622500,Sun Apr 26 16:58:50 +0000 2020,RT @StrongerCanada: La vedette internationale @Drake clôturera l'émission historique "STRONGER TOGETHER, TOUS ENSEMBLE" diffusée ce soir dè…
1254454890623127600,Sun Apr 26 16:58:47 +0000 2020,RT @StrongerCanada: International superstar @Drake to close tonight's historic STRONGER TOGETHER, TOUS ENSEMBLE ​6:30 p.m. broadcast with a…
1253819265028952000,Fri Apr 24 22:53:02 +0000 2020,RT @CTV: Join us for a night of hope and inspiration this Sunday at 6:30pm. Catch Stronger Together, Tous Ensemble on CTV and free on https…
1253692867022860300,Fri Apr 24 14:30:46 +0000 2020,RT @TSN_PR: .@KateBeirness Hosts All-New Primetime HER MARK Special, April 29 on @TSN_Sports. More on @thelede_ca:   https://t.co/OZh2R1j7lY
